,distance,minimum presure,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge,precip,u10,v10,windspeed,mean
thompson_ntiedtke,0.9488945498072776,0.319515467197612,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0498709024986168,0.23702006567882186
thompson_tiedtke,0.3671430949735439,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8933035621724651,1.0,1.0,1.0,0.4471747612247149
wsm6_ntiedtke,1.0,0.2039665957077049,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0422177251201461,0.0509582459602362,0.0,0.5926530404848634
