,distance,minimum presure
kessler_freitas,0.12409747345166615,0.08423913614419
kessler_ntiedtke,0.5429982541248575,0.2534020744764861
kessler_off,0.24081859321634197,0.12446018466653416
kessler_tiedtke,0.8486804216371266,0.20633212438230114
off_freitas,0.76828134568474,0.8752235354793061
off_ntiedtke,0.0,0.41429663380465753
off_off,1.0,1.0
off_tiedtke,0.5082145987210682,0.7672351159723148
thompson_freitas,0.5219293112552461,0.02807004716323307
thompson_fritsch,0.5070963787125768,0.0
thompson_ntiedtke,0.6614093706689633,0.220849621815854
thompson_off,0.4890618707169649,0.12882395020090637
thompson_tiedtke,0.6689006395534028,0.19068159429139092
wsm6_freitas,0.3699610894542783,0.08980162753859473
wsm6_fritsch,0.46416032395942225,0.015140812469442478
wsm6_ntiedtke,0.7340657247726513,0.1774026028235149
wsm6_off,0.4205012115189823,0.10564727624636043
wsm6_tiedtke,0.6023957574945653,0.16119262997904402
