,rmse,ccoef
wsm6_fritsch,0.2874193724568653,0.7968909120558915
wsm6_tiedtke,0.24920338024201158,0.8118938891936811
wsm6_ntiedtke,0.030900890613015472,0.9770098012897432
wsm6_freitas,0.33314383478116993,0.7653066422937331
wsm6_off,0.2708346649311683,0.7957668653233237
thompson_fritsch,0.29349853531319603,0.7808442494464004
thompson_tiedtke,0.23384475562918336,0.8164973362195309
thompson_ntiedtke,0.034012173266493126,0.9696952640042803
thompson_freitas,0.3341268905814826,0.7623385162220312
thompson_off,0.3273849442149971,0.7513859821944351
kessler_tiedtke,0.23594028412021917,0.8186461864268065
kessler_ntiedtke,0.0,1.0
kessler_freitas,0.3196367389066957,0.7704769595442447
kessler_off,0.26714328912028645,0.8025600605293917
off_tiedtke,0.7844009525665632,0.24369433386775
off_ntiedtke,0.1286593857531891,0.8782332895319331
off_freitas,0.6669254834348124,0.3663221244730243
off_off,1.0,0.0
