,mean_dist,std
thompson_off,92.33766869852661,50.97424506531043
off_tiedtke,93.7024086425818,46.93622549836335
wsm6_freitas,83.8510659794495,42.065596042767936
wsm6_fritsch,90.56329297922984,51.03139861692571
thompson_fritsch,93.62272915715795,53.51171812257939
kessler_ntiedtke,96.18094036504097,78.66016885054174
thompson_freitas,94.67965929912623,51.36416429781717
wsm6_ntiedtke,109.79557579174208,56.61638100454552
wsm6_off,87.45233486105995,44.701259203069455
off_ntiedtke,57.489250763556726,26.273612685295294
kessler_tiedtke,117.96251968366256,73.44368529203214
thompson_ntiedtke,104.61840058132417,72.20434429319864
wsm6_tiedtke,100.41334764448574,47.36539640952446
off_freitas,112.23363185139965,39.39608898914142
kessler_off,74.64893440565235,40.42144369944529
thompson_tiedtke,105.15219576058333,57.82183261132463
off_off,128.74489349825222,50.96789254718975
kessler_freitas,66.33189599610701,41.14972213350835
