,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge
kessler-grell_freitas,0.2440497576899286,0.1813044928506185,0.9369873415556353,0.0,0.5803809938210416,0.20490543460904168,0.11936589776716817,0.28711078937626844
kessler-ntiedtke,0.09803807197033018,0.1083953912115814,0.0,0.20642134101347276,1.0,0.3328198848018047,0.3621333672026782,0.3349152032877227
kessler-off,0.22484912668825086,0.23690657396092962,0.26663240827528295,0.034578379967500905,0.9378512015324264,0.25795085472480117,0.13372073829903675,0.272445575539625
kessler-tiedtke,0.05814956104136163,0.24390289863793133,0.09791987561781353,0.09362823404821691,0.7095401437236082,0.3698488691367279,0.29215842154008764,0.4233847735233554
off-grell_freitas,0.23992737127127042,0.8876987467126048,0.030023356309537518,1.0,0.7728194242210921,0.7719110838766828,1.0,0.7305630304130649
off-ntiedtke,0.2002007620859993,0.31690446415810775,0.9292682809683621,0.7478520675223793,0.5061180291459286,0.414463710319829,0.9577670789340214,0.39569092225585895
off-off,1.0,1.0,0.29665475927141627,0.8657461415848727,0.5802008122880128,1.0,0.3116446635165247,1.0
off-tiedtke,0.7997167935781218,0.574900412718242,0.23909131817202178,0.8059997911973197,0.20710410002553686,0.7713091856499711,0.48485517314476045,0.727532653171338
thompson-grell_freitas,0.20676682285123724,0.05533688558144554,0.835451187068409,0.3453380966873671,0.5183842873433281,0.015009151403900776,0.4804352289663219,0.08810983363643168
thompson-kain_fritsch,0.2500329771192518,0.18892681036777334,0.10628348474556655,0.25916545532837404,0.0,0.25668653410672826,0.3704304202261453,0.3212980965954592
thompson-ntiedtke,0.23269125403819496,0.10546089874523329,0.11795610431045568,0.2989578709666944,0.11743102365460255,0.19686935231403965,0.08084108405003491,0.2073902594034929
thompson-off,0.09123678242333359,0.1221196255812471,0.33013005967065545,0.2604174324883969,0.4060224153028745,0.030800191672599554,0.35501009337197403,0.05577842871431082
thompson-tiedtke,0.05670278523486396,0.062329841659814374,0.17918929833479938,0.16433347111453903,0.0028515497863338523,0.1504354937971663,0.0,0.18262653732750214
wsm6-grell_freitas,0.18244830408171672,0.0,1.0,0.37763711012312423,0.5492370448906533,0.030781215745167016,0.5841555915972396,0.088969158786093
wsm6-kain_fritsch,0.3740918955803774,0.11616399857699171,0.1252423032660188,0.33322062217087617,0.3663592337613427,0.23334317077990266,0.41786235021220164,0.3039937343792834
wsm6-ntiedtke,0.18562984951527875,0.111910264160704,0.1232148402725661,0.32657725492643563,0.07657101427761158,0.18421117749119514,0.07703757692025182,0.19456464146848987
wsm6-off,0.06658051746003847,0.0450420694871835,0.3799402087024568,0.32064802852761937,0.3977545781628354,0.0,0.45512911723549004,0.0
wsm6-tiedtke,0.0,0.019214702432730414,0.2439215535429516,0.2895935474785606,0.08172249309858429,0.15190839611363371,0.21069323766859366,0.15238804565990877
