,rmse,ccoef
wsm6_fritsch,0.24244189337031555,0.7937457594195306
wsm6_tiedtke,0.22733825603169472,0.8087441214105
wsm6_ntiedtke,0.0,1.0
wsm6_freitas,0.4158299847395036,0.6300378395234452
wsm6_off,0.32319884959089024,0.7142550031822049
thompson_fritsch,0.2981957920889018,0.7509492382931929
thompson_tiedtke,0.2224386509131874,0.8118681069061757
thompson_ntiedtke,0.0064156779841774165,0.993804836390042
thompson_freitas,0.48750378822126067,0.5708111031298423
thompson_off,0.38290141263352717,0.6642583663546094
kessler_tiedtke,0.3527959968117927,0.6987311619842226
kessler_ntiedtke,0.10169122181228885,0.9162140670743645
kessler_freitas,0.5853449221345048,0.469461950551653
kessler_off,0.5003926804160284,0.5554041680853625
off_tiedtke,1.0,0.0
off_ntiedtke,0.23829613363625599,0.7624475914915168
off_freitas,0.5720814943475765,0.45334521779664805
off_off,0.7715576272768803,0.2767373080193144
