,rmse,ccoef
kessler_freitas,0.46766738115819567,0.5986478984744128
kessler_ntiedtke,0.14747942430670985,0.8874990626840021
kessler_off,0.38359113094353253,0.6780602103523955
kessler_tiedtke,0.35615297101547394,0.7096498348208196
off_freitas,0.698900377723191,0.3500898958653114
off_ntiedtke,0.31309137236877504,0.7222837445627986
off_off,0.9067590647430323,0.14442013703168732
off_tiedtke,1.0,0.0
thompson_freitas,0.3768266227154842,0.6858532609186873
thompson_fritsch,0.22590335350453672,0.8222172782404618
thompson_ntiedtke,0.010503756132368229,0.9916167094216588
thompson_off,0.2591162122641055,0.7861603745872872
thompson_tiedtke,0.2155483837274959,0.8284090009873891
wsm6_freitas,0.3014716953263597,0.7475707639637363
wsm6_fritsch,0.19314328077414653,0.8453527058416498
wsm6_ntiedtke,0.0,1.0
wsm6_off,0.21667783614014005,0.8199521993062254
wsm6_tiedtke,0.19963381542943998,0.8414217022080807
