,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge
Catarina-2103-2303_ERA5_track,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mp_kessler-cu_grell_freitas,0.37630159894559717,0.34874549812290795,0.8931848239746086,0.5469220261133296,0.16933806666194348,0.339475265463997,0.5301875298317547,0.51972139741257
mp_kessler-cu_ntiedtke,0.33148993233194723,0.3065313585768345,0.5615995849839088,0.6611160544309002,0.19695776318132105,0.4285001378804133,0.7174862404993719,0.5268514971313786
mp_kessler-cu_tiedtke,0.3334803877984475,0.40291454066912197,0.6240778791760379,0.5918664340629853,0.17549770812423027,0.46256313382008213,0.5725091926013407,0.6112599035896028
mp_kessler-off,0.3448177754453226,0.4000639401212561,0.6635720779496692,0.5514840909575134,0.19026858008737985,0.3737254833419552,0.4531263929994572,0.5109441091239499
mp_thompson-cu_grell_freitas,0.3661216283061168,0.25344695496641223,0.7830535126754209,0.615839082241891,0.1689900121854367,0.18947868299995002,0.4044245353097119,0.361805227884977
mp_thompson-cu_kain_fritsch,0.3773378188835107,0.35642378098488886,0.5707915385074521,0.6176336230354045,0.13229918268460944,0.36328506157846435,0.39691275558535405,0.4807641638156685
mp_thompson-cu_ntiedtke,0.3958492339905286,0.291870056969827,0.5628711465304312,0.6388107908183742,0.13118072785533139,0.327163007560839,0.42081149570590026,0.4144737232504793
mp_thompson-cu_tiedtke,0.31710072019080393,0.2347099719886727,0.6197546940490076,0.5879268827713017,0.13356443972982668,0.27291613782643553,0.3588838591268123,0.3991733205355237
mp_thompson-off,0.2528901103680128,0.3012031425942972,0.6560339199448874,0.6010603756918594,0.1631665820931142,0.21181151036028523,0.4350635140102561,0.33794928428985155
mp_wsm6-cu_grell_freitas,0.33423049677268174,0.22288735327286385,0.8460943547131927,0.6323267919114558,0.16977568446833474,0.20228327524703718,0.5141470166737973,0.37715260699084446
mp_wsm6-cu_kain_fritsch,0.4504994485440264,0.2963594480078633,0.5542543570397944,0.6068334933652618,0.13174730663107523,0.3476481354854488,0.38552481765561153,0.46823053209542675
mp_wsm6-cu_ntiedtke,0.3578049253570435,0.2959158972458672,0.5587177362421174,0.6516899987271235,0.12664445829029575,0.3053648788595916,0.4478935521059006,0.38687796246141043
mp_wsm6-cu_tiedtke,0.29193264652226536,0.19530349087544416,0.62112234782491,0.6141007932382534,0.13667779548101708,0.2786957559563286,0.3991744035284093,0.3809849771961873
mp_wsm6-off,0.22810049633099747,0.24535598823302565,0.6299828482597114,0.5965521299304781,0.15024939425425812,0.1724627986212057,0.4239863567385783,0.2991114506779288
off-cu_grell_freitas,0.5165714344478795,0.9206163185072658,0.8840129919584181,1.0,0.24548217443766027,0.8096888903965139,1.0,0.8148519216078115
off-cu_ntiedtke,0.39941865347836447,0.47525267488828254,0.9662083525325645,0.9261704883159272,0.17968865871367562,0.502555072700243,0.8985767199580493,0.5660867780774282
off-cu_tiedtke,1.0,0.6763069185196788,0.9546987391766382,0.9104387068893954,0.22470224191622368,0.841586136698321,0.7242337683943781,0.8410847645169401
off-off,0.9074413159878554,1.0,1.0,0.9038114959832536,0.27186806412301173,1.0,0.5948577960563912,1.0
off-tiedtke,0.7726090182378333,0.6943287995064522,0.8367502712450186,0.817896753182842,1.0,0.8102467850174813,0.49203568184274976,0.8640053006676405
