,rmse,ccoef
kessler_freitas,0.35360678895251296,0.7801922194250596
kessler_ntiedtke,0.045431228296759774,0.9681453812084685
kessler_off,0.27040409864526826,0.8161037895377167
kessler_tiedtke,0.31765303353226504,0.7582401520055972
off_freitas,0.6125808883951167,0.4460440115552112
off_ntiedtke,0.23775732930218543,0.7776723179743076
off_off,1.0,0.0
off_tiedtke,0.798848762304178,0.19654337568294947
thompson_freitas,0.2787469514586757,0.8254605783375564
thompson_fritsch,0.19290508861922848,0.8620557784525702
thompson_ntiedtke,0.0,1.0
thompson_off,0.23168729311152841,0.8278651351080522
thompson_tiedtke,0.22110845533109172,0.8288567642709203
wsm6_freitas,0.2546328428331821,0.8597909060247944
wsm6_fritsch,0.1956419455539011,0.8868334066224017
wsm6_ntiedtke,0.017632422933138353,0.9927028533596025
wsm6_off,0.1912596464522039,0.8716727104260421
wsm6_tiedtke,0.21438837499884353,0.8513720360824816
