,u10,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge,distance,minimum presure,windspeed,precip,v10,mean
kessler_freitas,0.4676673811581956,0.2440497576899286,0.1813044928506185,0.9369873415556352,0.0,0.5803809938210416,0.2049054346090416,0.1193658977671681,0.2871107893762684,0.0507707102996232,0.0787493706092502,0.3663694807760896,0.4123014118197204,0.3536067889525129,0.30596927509179245
kessler_ntiedtke,0.1474794243067098,0.0980380719703301,0.1083953912115814,0.0,0.2064213410134727,1.0,0.3328198848018047,0.3621333672026782,0.3349152032877227,0.5111052595348152,0.2551993670127316,0.0544703150989874,0.0671541297305259,0.0454312282967597,0.2516830702477228
kessler_off,0.3835911309435325,0.2248491266882508,0.2369065739609296,0.2666324082752829,0.0345783799675009,0.9378512015324264,0.2579508547248011,0.1337207382990367,0.272445575539625,0.1454246356616267,0.1199662726480766,0.2951603496523308,0.508243315518544,0.2704040986452682,0.29198033300408804
kessler_tiedtke,0.3561529710154739,0.0581495610413616,0.2439028986379313,0.0979198756178135,0.0936282340482169,0.7095401437236082,0.3698488691367279,0.2921584215400876,0.4233847735233554,0.8751683384644227,0.2073944421799698,0.2650386669259426,0.4397088033712001,0.317653033532265,0.33926064519702687
off_freitas,0.698900377723191,0.2399273712712704,0.8876987467126048,0.0300233563095375,1.0,0.7728194242210921,0.7719110838766828,1.0,0.7305630304130649,0.6900089468497177,0.8721949153219684,0.7666459293132971,0.7931926173033418,0.6125808883951167,0.7047476205507776
off_ntiedtke,0.313091372368775,0.2002007620859993,0.3169044641581077,0.929268280968362,0.7478520675223793,0.5061180291459286,0.414463710319829,0.9577670789340214,0.3956909222558589,0.0,0.4211139616850888,0.2823125375348772,0.3332683890046251,0.2377573293021854,0.43255777894900277
off_off,0.9067590647430324,1.0,1.0,0.2966547592714162,0.8657461415848727,0.5802008122880128,1.0,0.3116446635165247,1.0,1.0,1.0,1.0,1.0,1.0,0.8543575315288471
off_tiedtke,1.0,0.7997167935781218,0.574900412718242,0.2390913181720217,0.8059997911973197,0.2071041000255368,0.7713091856499711,0.4848551731447604,0.727532653171338,0.4095999565177517,0.7704254281855164,0.8659056775053496,0.8653698564801547,0.798848762304178,0.6657613649035902
thompson_freitas,0.3768266227154842,0.2067668228512372,0.0553368855814455,0.835451187068409,0.3453380966873671,0.5183842873433281,0.0150091514039007,0.4804352289663219,0.0881098336364316,0.5473891869016655,0.010174151421424,0.3331490426750993,0.4293983014629263,0.2787469514586757,0.3228939821552654
thompson_fritsch,0.2259033535045367,0.2500329771192518,0.1889268103677733,0.1062834847455665,0.259165455328374,0.0,0.2566865341067282,0.3704304202261453,0.3212980965954592,0.4487026646272257,0.0,0.2363743675254747,0.2947438812695476,0.1929050886192284,0.2251037952882365
thompson_ntiedtke,0.0105037561323682,0.2326912540381949,0.1054608987452332,0.1179561043104556,0.2989578709666944,0.1174310236546025,0.1968693523140396,0.0808410840500349,0.2073902594034929,0.627301679475411,0.2358333133526746,0.0166551648347151,0.0,0.0,0.16056369723413694
thompson_off,0.2591162122641055,0.0912367824233335,0.1221196255812471,0.3301300596706554,0.2604174324883969,0.4060224153028745,0.0308001916725995,0.355010093371974,0.0557784287143108,0.422064542542192,0.1217557404432509,0.2876464450672691,0.1463034605114542,0.2316872931115284,0.22286348022608515
thompson_tiedtke,0.2155483837274959,0.0567027852348639,0.0623298416598143,0.1791892983347993,0.164333471114539,0.0028515497863338,0.1504354937971663,0.0,0.1826265373275021,0.4588292551410683,0.1912045140304185,0.2428590230235315,0.3132270360366506,0.2211084553310917,0.1743746888960911
wsm6_freitas,0.3014716953263597,0.1824483040817167,0.0,1.0,0.3776371101231242,0.5492370448906533,0.030781215745167,0.5841555915972396,0.088969158786093,0.4504283024486117,0.0838652184685224,0.3035948087364853,0.3116155916428418,0.2546328428331821,0.3227740631914283
wsm6_fritsch,0.1931432807741465,0.3740918955803774,0.1161639985769917,0.1252423032660188,0.3332206221708761,0.3663592337613427,0.2333431707799026,0.4178623502122016,0.3039937343792834,0.6435294007588263,0.0044684745166678,0.2083399889723459,0.2912771890220183,0.1956419455539011,0.27190554202320716
wsm6_ntiedtke,0.0,0.1856298495152787,0.111910264160704,0.1232148402725661,0.3265772549264356,0.0765710142776115,0.1842111774911951,0.0770375769202518,0.1945646414684898,0.7447359421227833,0.1771501186851128,0.0,0.0295198353905956,0.0176324229331383,0.1606253527260116
wsm6_off,0.21667783614014,0.0665805174600384,0.0450420694871835,0.3799402087024568,0.3206480285276193,0.3977545781628354,0.0,0.45512911723549,0.0,0.3969006941675943,0.1065952158310755,0.2131009148221835,0.2686550789030532,0.1912596464522039,0.21844885042084813
wsm6_tiedtke,0.1996338154294399,0.0,0.0192147024327304,0.2439215535429516,0.2895935474785606,0.0817224930985842,0.1519083961136337,0.2106932376685936,0.1523880456599087,0.4908219574720752,0.1537623580374197,0.2167757815569387,0.4047167908712021,0.2143883749988435,0.20211007531149155
