,bias,mse,rmse,mae,mape,r
off-off,-0.3820786582552742,20.88801803331887,4.57034112876915,3.672546921274531,1.1217538311700246,0.8316372405958108
off-tiedtke,-0.24555933074501493,20.45477533817883,4.52269558318696,3.633748963920201,1.1200749896251359,0.831479169586866
thompson-tiedtke,-0.8224991194730561,18.46521414977938,4.297116957889252,3.2812552595206177,1.1251850226556923,0.8544907194252757
off-ntiedtke,-1.6922193203529752,28.916074196725607,5.377366846024698,4.493598970640566,1.347578910675429,0.7833062401336677
thompson-off,-1.026018379499181,18.06846249700524,4.250701412355993,3.224878655259392,1.121775700312221,0.8615322862701532
wsm6-kain_fritsch,-0.9796293298886649,18.42202654513966,4.29208883239148,3.1593386615182886,1.1106540765673076,0.8617205183097546
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,1.0
wsm6-grell_freitas,-1.2006279191005103,17.202303604605177,4.147565985563723,3.1269677888641696,1.053765507025384,0.8733602889861751
thompson-grell_freitas,-1.1923432584615103,18.30370556277742,4.278283015740943,3.235474967678666,1.0651299037765756,0.8626713172551459
kessler-tiedtke,-0.5256527524216348,19.488167736436843,4.4145404898400065,3.5560893543536025,1.1813290627874233,0.8416332372574715
wsm6-tiedtke,-1.0257289386104926,18.65769293420995,4.319455166361835,3.3297275488869933,1.14088700721525,0.8567896625609075
wsm6-off,-1.0794976526936126,17.595802459508505,4.194735088120406,3.1894945750308334,1.1461113426860965,0.8677242109128531
thompson-ntiedtke,-1.0208865795129325,17.747979197119914,4.212835054582593,3.29567915855335,1.0127221072377655,0.8639983063710742
kessler-off,-0.6564483004902073,18.391619170278148,4.288545111139459,3.433786270890952,1.1910473008347715,0.8536386782447144
thompson-kain_fritsch,-0.9858989801237099,17.58073363609639,4.19293854427851,3.1995100113128223,1.0760420708842944,0.8653696048683067
kessler-grell_freitas,-0.6775437190820929,16.727672953166838,4.089947793452484,3.1658221122802392,1.098536501753851,0.868199809209363
wsm6-ntiedtke,-1.0850250921117162,17.918167984384624,4.23298570566741,3.3010464725790087,1.0278333096258496,0.8635134513876337
kessler-ntiedtke,-0.6985911347162198,19.229595129795005,4.3851562263840735,3.567217380563226,1.0997783732015063,0.8459565051804886
off-grell_freitas,-0.012801604341882008,22.453212431371544,4.738482080938108,3.773446002940767,1.2355022724479017,0.8146633975011465
