,bias,mse,rmse,mae,mape,r
off-off,-4.374143949579771,51.115360003012256,7.149500682076495,4.950152109790445,0.9369573294175783,0.850313295526054
off-tiedtke,-3.6435536474109074,44.05592008968182,6.637463377652778,4.5329186090109435,1.0708308373312148,0.8639827042380983
thompson-tiedtke,1.7069627895750417,22.77925052288241,4.7727613100680415,3.9962823999199952,3.1539317846165393,0.8868643608607597
off-ntiedtke,0.26077226044208884,27.22735260887757,5.2179835769076135,4.02722999169982,2.0123877943536166,0.8233864236865324
thompson-off,1.4925567801920865,20.924676029440057,4.5743497930788,3.888883719094393,3.0810035622266447,0.9001334859295753
wsm6-kain_fritsch,1.0699737057749463,16.334468057924628,4.041592267649549,3.246005551579375,1.8955812607127218,0.914723492209829
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,0.9999999999999998
wsm6-grell_freitas,2.0171649724971394,18.224469371026046,4.269012692769377,3.6037409019230338,3.241001205434264,0.9330565148972441
thompson-grell_freitas,2.3238325497441408,23.817258483843165,4.880292868654828,4.147102166194817,3.9282394406660472,0.9075011006807218
kessler-tiedtke,2.219448727433106,42.5181854392901,6.520597015556942,5.481901501026203,5.554309771170125,0.7764363111657282
wsm6-tiedtke,1.5111202945902587,20.48129918763139,4.5256269386275525,3.7118301078290976,2.7834323887632824,0.894231902194027
wsm6-off,1.5039906285630373,19.29497270187612,4.392604318838213,3.7181904659081333,2.5790414930778485,0.9100883790265324
thompson-ntiedtke,2.1089654048842372,20.907850410823624,4.572510296415266,3.768310458012001,3.440048196288423,0.9124963787033598
kessler-off,2.356982334964847,38.060885139144624,6.169350463310106,5.245661526885229,4.84694131282437,0.8004439326673526
thompson-kain_fritsch,0.9509865714034099,15.045481963046674,3.8788505981858434,3.106286533831868,2.1997186807490325,0.9192357367752592
kessler-grell_freitas,3.085325848371148,47.3072302037668,6.878025167427552,5.763378097111041,5.5919521088483,0.7511942768241784
wsm6-ntiedtke,1.9315848592815723,19.571054559051593,4.423918462070882,3.6125287185140174,3.232182616677679,0.9168812220057977
kessler-ntiedtke,2.411883103993901,35.87019512287144,5.989173158531271,4.987878281474722,5.308582456441722,0.8406157433551954
off-grell_freitas,-2.3685833483441696,36.86834011005667,6.071930509323758,4.690685734316377,2.1547154411479403,0.8866458453667488
