,bias,mse,rmse,mae,mape,r
off-off,-1.6946422469318365,13.195561868951971,3.6325695958855313,2.792289591944669,2.9044826757445747,0.7347714957568394
off-tiedtke,-1.2539573097500767,8.666439392386103,2.9438816879056304,2.275832379360761,1.1320234892227876,0.7966886476041465
thompson-tiedtke,-0.2947324403359393,6.489259833078683,2.547402565963747,2.04938437729813,1.684844785663188,0.8186286481988164
off-ntiedtke,-0.5921589984491556,6.361828089497536,2.5222664588614614,2.023198420298716,1.9117338014498253,0.8315596827131173
thompson-off,-0.06238455925029889,6.48204434064692,2.5459859270323784,2.077869023826473,2.140215833849941,0.8191078236210386
wsm6-kain_fritsch,-0.17264231697121613,4.4793450825296475,2.116446333486783,1.6495316446325077,1.6668017403015647,0.8810092643781002
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,1.0
wsm6-grell_freitas,-0.21398489670997467,7.946238472017555,2.8189073188059153,2.3032338419078635,2.5432338303442816,0.7785339078359585
thompson-grell_freitas,-0.26201877313250693,8.444484232938237,2.9059394750989287,2.3920738385243197,2.5140819253088362,0.766220456407127
kessler-tiedtke,0.31927326826966723,8.868912201372266,2.9780718932511125,2.283158374845309,1.4536210578267061,0.7562042019338087
wsm6-tiedtke,-0.283862575512946,6.221901299162236,2.494373929298139,1.97330654294859,1.59928166541901,0.8267215437271925
wsm6-off,-0.12119363550529423,5.747398100103854,2.397373166635485,1.947892854072899,2.021964299858792,0.8404325876422057
thompson-ntiedtke,-0.5595241172421347,7.478321895053864,2.7346520610589318,2.2313727664547023,2.0378519690784875,0.7950753453222847
kessler-off,0.4296483399602948,9.691410719050515,3.113103069133837,2.3881170248408448,1.8646080047018758,0.743557525081098
thompson-kain_fritsch,-0.5653661788482934,4.717891340074622,2.1720707493253117,1.7154032338257537,1.3743127841788445,0.8796641003290293
kessler-grell_freitas,0.07228910735236904,9.989579281211762,3.160629570388115,2.51279379301608,2.125665432193464,0.722288701679295
wsm6-ntiedtke,-0.593861863883116,6.924184076874162,2.6313844411020906,2.150494360803649,2.007188062755058,0.8132218148925857
kessler-ntiedtke,0.014029772629011736,8.247127576753853,2.871781255032119,2.3794675813140382,2.071618699875781,0.7747001159769145
off-grell_freitas,-1.9848587654920669,12.734432647591875,3.568533683124187,2.5864810795915845,0.80605636066316,0.739597525436078
