,bias,mse,rmse,mae,mape,r
off-off,123826.36505511349,19752232603.610935,140542.63624826074,126327.7976278892,0.18763461313553742,0.9098316186825663
off-tiedtke,121407.46197264643,18231468477.964554,135023.95520041825,121407.46197264646,0.18172010811092934,0.9283871803167051
thompson-tiedtke,10301.63753702889,5738698315.308925,75754.1966844671,62302.13588005679,0.10613511477106448,0.9116135482803791
off-ntiedtke,47473.55736278007,16809884049.81034,129652.93691162704,118394.02778334256,0.1915036730976879,0.7205181141034008
thompson-off,-13427.695444067416,7162123246.465836,84629.32852425237,69480.96472570192,0.11682372766281991,0.9022410857801773
wsm6-kain_fritsch,-18590.539189866355,8345562505.146304,91354.05029415118,77939.46527524512,0.12751985851184194,0.9008617943114366
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,0.9999999999999998
wsm6-grell_freitas,-33651.295383507175,9111988232.282799,95456.73487126405,79683.49400695691,0.13031454417737062,0.8967671736658948
thompson-grell_freitas,-26900.725537030536,8551315521.450135,92473.32329623574,76451.87506484457,0.126938168164049,0.895498219128989
kessler-tiedtke,39546.379279113266,4791859678.052486,69223.25966069849,56338.39424849941,0.09380047524914847,0.9412918322629343
wsm6-tiedtke,-8744.932997739275,7625530338.49722,87324.2826394653,71283.71397261425,0.12004971562876295,0.8932162404672007
wsm6-off,-23242.90837802411,8134730099.569509,90192.73861885727,74785.4575045231,0.12336365525622521,0.8996102001431061
thompson-ntiedtke,8508.270051317351,7777344026.826747,88189.2511977891,75371.39060245834,0.1264929000716052,0.8752284754585652
kessler-off,16549.801535548107,4066474256.945066,63768.91293526232,52015.9337194509,0.0885607108699552,0.9410296827635805
thompson-kain_fritsch,-3560.0701951882547,7142562997.2466,84513.68526603606,69513.36101192467,0.1175038087283549,0.899394431380697
kessler-grell_freitas,11300.589925717873,3669325740.4741654,60574.95968198547,48218.70239564454,0.08382695094025373,0.9449617757328285
wsm6-ntiedtke,356.42752635208916,8233822441.699771,90740.41239546893,75416.20941451879,0.12695515636946933,0.871481409973623
kessler-ntiedtke,37365.07740030394,6342814761.222119,79641.79029392872,71518.9140969192,0.11608646188709586,0.9044517980647572
off-grell_freitas,142151.24424851532,23391703303.62453,152943.46440310724,142151.24424851534,0.21013668041433334,0.9575303867878056
