,bias,mse,rmse,mae,mape,r
off-off,-4.841660448819271,119.24624083053767,10.919992712018523,8.871337167832051,4.151382691073522,0.7688434878117155
off-tiedtke,-4.41328055704731,110.68896681474587,10.52088241616386,8.569176267356,4.030041544391749,0.7829233990387512
thompson-tiedtke,2.2933258318206935,71.80062483021084,8.473524935362546,7.11841835227306,4.611591987221141,0.845677737377806
off-ntiedtke,0.11352340336285076,93.35354323007346,9.661963735704738,8.1660486444017,4.181856536813927,0.7711817626610603
thompson-off,2.9312503282759983,82.70229020850586,9.09407995393189,7.7764595438751165,4.9455560218239745,0.8251669936592427
wsm6-kain_fritsch,2.3340410986562445,71.21362543801557,8.438816589902613,7.2151864475752445,4.630289087389789,0.8467139601245338
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,1.0
wsm6-grell_freitas,3.6699986627091365,77.6787834967648,8.813556801698438,7.66708227263332,5.218236254690221,0.8513174682891842
thompson-grell_freitas,3.81080045707221,85.41723292119035,9.242144389760979,8.048575196345341,5.2044511354352645,0.832761281952921
kessler-tiedtke,2.494744089087429,82.61090321807937,9.089054033180757,7.919200271136916,4.578638433785081,0.8203067778772319
wsm6-tiedtke,2.2096588689232117,71.55258808845979,8.458876289937086,7.132374693101252,4.486183630788086,0.8436930769425448
wsm6-off,2.804261885192039,79.11763522921908,8.894809454351401,7.54905812823475,4.952432251295338,0.8324509873787989
thompson-ntiedtke,2.1849370634708305,69.79403680426968,8.354282542760311,7.022503876372085,4.403379330905458,0.8501628310766007
kessler-off,3.1469288738163663,93.55639346830917,9.672455400171621,8.390814893287597,4.965616967521256,0.7985364102987453
thompson-kain_fritsch,2.098361184194409,70.97399161771183,8.424606318262702,7.125970246897315,4.5743347511484265,0.8451899320117264
kessler-grell_freitas,4.017802764702725,101.444665438335,10.071974257231547,8.783925504358377,5.291393260105566,0.7933122726245293
wsm6-ntiedtke,2.0573852300642463,67.83142643531262,8.235983634959009,6.911057083019144,4.368643839711178,0.8541201697323498
kessler-ntiedtke,1.6317897624781177,71.99013622257823,8.484700125671987,7.213160110463133,4.257339230166305,0.8434219464399381
off-grell_freitas,-4.111551837549704,103.42979063731951,10.170043787384571,8.284050651526195,4.158727328196377,0.7966969854705163
