,bias,mse,rmse,mae,mape,r
off-off,-0.18646439033222717,5.545406429856045,2.3548686650970674,1.8134228549160112,0.7996612101879936,0.5834975625268497
off-tiedtke,-0.7016741884772612,8.341763127046283,2.888211059989606,2.346529828223918,1.2905854469289697,-0.2121499923935694
thompson-tiedtke,-0.004326241694718384,6.487207658562099,2.546999736663139,1.7752063317727373,0.9733877773249855,0.3713993559203931
off-ntiedtke,-0.5998905198211125,7.592638494162569,2.755474277536005,2.2627083185086034,1.4277506078800706,0.14462621347080676
thompson-off,0.13672537100988866,5.6332837335506705,2.373453967017408,1.5765521155047348,0.8959986216833213,0.49379586854601115
wsm6-kain_fritsch,-0.013995632792827803,5.122394727121695,2.2632708028695316,1.5981198979271918,1.0991750886153537,0.5556672911067531
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
wsm6-grell_freitas,-0.09778688804204146,6.235975063893906,2.497193437420078,1.695501505380884,1.1596363351495298,0.42214631148905096
thompson-grell_freitas,-0.08033749734647797,6.803805196208667,2.6084104731059234,1.8056054172692682,1.189450901879655,0.35799933678790063
kessler-tiedtke,0.14508250385551003,7.861388914823279,2.803816847588886,1.9659143001611668,0.9514207959390367,0.1070956864545013
wsm6-tiedtke,-0.08090950501599588,6.424764848967965,2.5347119854074083,1.8012933285407609,1.019304973897581,0.36854229768385177
wsm6-off,0.00476291558172288,5.403504366823346,2.3245439051184524,1.5917077512447195,0.9432008866758593,0.5173632803135921
thompson-ntiedtke,-0.15570744322938565,6.451797358434064,2.540038849788338,1.8187137786045076,1.21156715119902,0.3725778052156538
kessler-off,0.13983811620090097,7.906439054708966,2.8118390876273427,1.928685186899674,0.9973091156922284,0.1559656666221458
thompson-kain_fritsch,-0.08678654412164712,6.07800412593653,2.4653608510594407,1.7864360524617668,1.2524842786970725,0.431027783076941
kessler-grell_freitas,-0.07666239889762823,8.93509631004085,2.9891631454373395,2.1404317480186883,1.2930432674153702,0.026858087655986327
wsm6-ntiedtke,-0.16583676458876648,6.3579179732808235,2.521491220147479,1.8323633196871214,1.2538985663796707,0.3878293068158141
kessler-ntiedtke,-0.4250274372883882,7.262601399804094,2.694921408836275,2.139510409924205,1.5032885701095822,0.2206913878742581
off-grell_freitas,-0.4547817130495895,6.9707613306824685,2.6402199398312383,2.073741258777552,0.9499494501067001,0.34478764349514046
