,bias,mse,rmse,mae,mape,r
off-off,-0.47372708655870205,8.986141443841062,2.9976893507902154,2.4181830086107454,3.1201963609079115,0.7567852676585373
off-tiedtke,-0.08175772379348203,6.557539687874747,2.5607693546812738,2.0070491149675562,2.6459185633106994,0.7652688143789318
thompson-tiedtke,0.04742628793137246,4.036515042173723,2.0091080215293857,1.4780929397764988,1.2158254674320657,0.882525708574057
off-ntiedtke,-0.20938381067282108,5.186599557624132,2.2774107134252555,1.6417137084068438,1.543723930005951,0.8234598398317442
thompson-off,-0.0028376187793617558,3.23894480477029,1.799706866345264,1.383819119285395,1.03854985929299,0.9115047497458247
wsm6-kain_fritsch,-0.3147404099152296,3.3116927108503993,1.8198056794203055,1.3476170305955113,0.7943754763625835,0.8912394595873326
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,1.0
wsm6-grell_freitas,-0.035784353403767816,4.71242733226859,2.1708125972245025,1.6081625658536953,1.2916677476372451,0.863784919888431
thompson-grell_freitas,0.043988243768642354,4.475299823078956,2.115490445045535,1.5791715109336302,1.2527771604722273,0.875680369932326
kessler-tiedtke,0.03326472139186498,4.621906011314766,2.1498618586585434,1.6231682395795086,1.5203635044702102,0.8577829936401923
wsm6-tiedtke,0.03502454468771471,3.995215403485624,1.9988034929641343,1.4747750504952981,1.2634229885609836,0.8787963256327852
wsm6-off,-0.04646365303927368,3.0491557270243574,1.7461831882778958,1.337692643783069,1.0583246829684432,0.9194611092013321
thompson-ntiedtke,0.09331098472946164,4.311242755839892,2.0763532348422538,1.5466681625637264,1.2393897085847556,0.8912480852798293
kessler-off,0.031988867712245905,4.006966130494318,2.0017407750491367,1.5591043628263723,1.449985101786359,0.8874590355917346
thompson-kain_fritsch,-0.22799602859991697,3.382915492508767,1.839270369605504,1.4062808742763868,0.8274449051031901,0.8915703228241995
kessler-grell_freitas,0.06828352928672095,5.180723919740998,2.2761203658288807,1.7741682073263163,1.539878131249223,0.8487492907093771
wsm6-ntiedtke,0.086952693566282,4.180202710128862,2.044554403807554,1.5340770810522626,1.2216756370411348,0.8951828978442729
kessler-ntiedtke,-0.025644252950408158,4.181516533296119,2.0448756767334584,1.536352787088853,1.2633070246981666,0.8876688486638573
off-grell_freitas,-0.05397889412866014,6.308032388421775,2.5115796599793074,1.9459583613152613,2.3204997443754825,0.7724405777416896
