,bias,mse,rmse,mae,mape,r
off-off,-28054.37191258848,1370453670.3749728,37019.63898223446,29990.34833218269,0.26148606577799227,0.7871648190856773
off-tiedtke,-20294.48907566212,1038355694.9282718,32223.52704047575,26035.525692124746,0.22562409681909057,0.6867023583235851
thompson-tiedtke,8421.737041361293,208248862.53718603,14430.830278857347,10254.390063547691,0.07703390828011368,0.9409962335573534
off-ntiedtke,4909.012440198355,319234197.7712393,17867.126175500056,13217.728916705259,0.10065533668827668,0.8471903033823329
thompson-off,9550.404027697927,232800577.9986659,15257.803839303542,11841.563837891706,0.09341907031090237,0.9259353030498658
wsm6-kain_fritsch,-145.53429564481394,485375376.05018115,22031.236371347415,15041.076533893765,0.1202041622661995,0.8594996540040662
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
wsm6-grell_freitas,10454.113090657049,304223861.7411957,17442.01426846096,13131.075624912088,0.10117458056599622,0.9005787280987841
thompson-grell_freitas,11994.948572406507,324877601.631759,18024.36133769402,13294.06970648693,0.101148046344536,0.917081056826009
kessler-tiedtke,6576.095142827096,209249987.6156166,14465.475713422515,10471.088732085751,0.08016032348854561,0.9194450823281956
wsm6-tiedtke,6386.317708900475,170903028.30641016,13072.988499436928,9628.553559528178,0.07457405193024448,0.9390279923196475
wsm6-off,8503.816545400457,215131709.86246967,14667.368880016267,11411.697854933998,0.09086094298429685,0.924768006530026
thompson-ntiedtke,12805.060244577844,347642164.09074515,18645.16463029343,13134.054036274625,0.09553301758760459,0.931072859308987
kessler-off,12762.718435048359,340674579.2121523,18457.371947602733,13813.810963263459,0.10584489611072605,0.9121431599824293
thompson-kain_fritsch,1409.7356813944389,363300403.93574566,19060.440811684963,14146.316560627236,0.11660759697073499,0.8681209978889594
kessler-grell_freitas,11823.819173768547,357859046.4059083,18917.162747249076,14266.663061889776,0.10916836771129097,0.8931210285428218
wsm6-ntiedtke,12208.587964725555,306887388.1725273,17518.20162495361,12651.662285121432,0.09297473562797709,0.9427515310609671
kessler-ntiedtke,7734.298586135009,237797123.1710914,15420.671942917774,11456.023685956074,0.08615089484864057,0.912760146701754
off-grell_freitas,-3370.32806358382,354133887.2925946,18818.445400526438,15038.765255277105,0.12183793467996351,0.8114257520702218
