,bias,mse,rmse,mae,mape,r
off-off,43756.18754801318,3203296999.6449523,56597.67662762273,47445.3007648969,0.23732503011753417,0.2820159213293298
off-tiedtke,18970.99265304614,1556284748.4928162,39449.77501194165,35355.28830582578,0.19155792356660442,0.3029896403428718
thompson-tiedtke,5106.450316792379,352441321.325195,18773.420608008415,16228.678257451988,0.08956028967648737,0.8619489229914545
off-ntiedtke,13356.48730510739,843472158.27525,29042.59214111664,24974.608835732757,0.1378172054598331,0.7197589027989582
thompson-off,8263.975507944082,448814982.3379636,21185.253888919142,19403.131911313416,0.10714592942046493,0.844783927457411
wsm6-kain_fritsch,9728.620407614177,438693549.5464084,20945.01252199216,17349.36741804685,0.09304425803375845,0.8723201243453956
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,1.0
wsm6-grell_freitas,6593.45422745615,264359148.27202168,16259.125077076616,14061.73249371899,0.07903070737281247,0.9198925953700275
thompson-grell_freitas,7743.032585059086,341929465.9679188,18491.33488875043,16414.098944930312,0.09106129951673787,0.891925336963995
kessler-tiedtke,-2178.985462221977,681095933.5305821,26097.81472711043,23338.549866924423,0.13100428857571453,0.7223905480099951
wsm6-tiedtke,4107.942445424041,290164594.51229024,17034.218341687716,14335.020473215438,0.07881852258334156,0.8860700863990054
wsm6-off,6642.77534132607,326743833.7399635,18076.056919028648,16488.781241133573,0.09062601461057258,0.8884906237814142
thompson-ntiedtke,17210.13119646091,420794040.0444363,20513.264977678133,17409.272250112826,0.08680215504579165,0.9635717712435087
kessler-off,-2671.550031159842,666444848.3161819,25815.59312346284,23217.58307674178,0.1306938445011432,0.7339281166918354
thompson-kain_fritsch,19057.854555531452,570261991.7818465,23880.15895637729,20769.498650266814,0.1057038523335078,0.9407676548881757
kessler-grell_freitas,4119.993854288586,555671511.5012025,23572.68570827691,20920.08616827019,0.11554200193775144,0.7631859015988433
wsm6-ntiedtke,17920.74430716631,431535104.67243433,20773.423036958407,17920.74430716631,0.08982917515738804,0.9681494732371099
kessler-ntiedtke,6087.380498961899,425664492.88897675,20631.638153306605,18021.00131337815,0.09715177188862327,0.8329241598767408
off-grell_freitas,42896.43665614377,2711035670.8709183,52067.606732698194,44976.1198809922,0.22380416789225754,0.5638176391396666
