,bias,mse,rmse,mae,mape,r
off-off,14597.160264283462,6192938469.0794325,78695.22519873384,64660.15683452036,0.08284541433250993,0.7823057236400243
off-tiedtke,6428.174433101086,5898952327.807332,76804.6374108187,64136.85736243593,0.08369562928771984,0.7920172425925754
thompson-tiedtke,-54156.58280928953,5600612849.123184,74837.24239389894,65811.4365992952,0.09487216064064276,0.929044174627692
off-ntiedtke,-56508.1760717682,9894778133.080187,99472.4993808851,81599.97516362066,0.11924899196016081,0.7697181538235158
thompson-off,-61934.567538616684,6367189826.372699,79794.67291976763,68697.24040504714,0.10054166548711112,0.9390958370657144
wsm6-kain_fritsch,-52265.67039489763,5338557285.252955,73065.43153402267,59905.51378400614,0.08763973415540076,0.9262250297788075
ERA5-ERA5,0.0,0.0,0.0,0.0,0.0,1.0
wsm6-grell_freitas,-88497.29304440091,10362340142.309977,101795.58017080101,90435.97955927435,0.13193046130245756,0.9446666143365197
thompson-grell_freitas,-81526.57078325946,9291265927.105635,96391.21291438154,85531.07361906739,0.12441594420147477,0.9353155333584502
kessler-tiedtke,-49176.45732970795,5208229750.216586,72168.06600025101,63781.11750399892,0.09129255297355332,0.9254671237455873
wsm6-tiedtke,-55754.0632022555,5923346389.92056,76963.27949042036,68290.6124511756,0.09765060116062006,0.9192373464074381
wsm6-off,-64346.33266596808,6630945070.301766,81430.61506768671,70230.46800363837,0.10253187554113126,0.9388795633540202
thompson-ntiedtke,-51907.07519713391,5303644757.837103,72826.12689026585,61323.25895931519,0.08889953649703776,0.9255255769727332
kessler-off,-61155.38034935311,6038717370.573284,77709.18459598765,67611.48071218315,0.09835023191121299,0.9425368940083796
thompson-kain_fritsch,-49373.4774633195,5247952986.627405,72442.75661946752,58257.71794486072,0.0854626890971872,0.9161358499548686
kessler-grell_freitas,-82673.70070738245,9945279212.141602,99726.02073752668,88160.5374779023,0.12824824990963204,0.9173887788575381
wsm6-ntiedtke,-51068.42796234501,5328830999.141704,72998.84245069715,61506.48143955638,0.08910309075686512,0.9229386898105308
kessler-ntiedtke,-42398.970403114996,4754382388.02472,68952.0296149774,57471.526615459996,0.08170804607091829,0.9060270267471557
off-grell_freitas,6036.4692825987595,4891338284.219348,69938.1032357852,58385.50107678076,0.0763228809239812,0.8321947285864002
