,./stats-48h,distance,minimum presure,mean
thompson_ntiedtke,0.0,0.2481876233813085,0.3043382514864567,0.18417529162258842
thompson_tiedtke,1.0,0.0,0.0,0.3333333333333333
wsm6_ntiedtke,0.0347132053534991,1.0,0.2392820964545254,0.42466510060267487
