,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge
micropmp_thompson-ntiedtke,1.0,0.6274848048683206,0.7881843243774603,0.544745763575709,1.0,1.0,0.0,1.0
micropmp_thompson-tiedtke,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3958143058077146
micropmp_wsm6-ntiedtke,0.4290140841566195,1.0,0.0,1.0,0.8752122042145305,0.6890039996264947,0.9388297873398358,0.0
