,lon,lat,min,distance
2004-03-24 06:00:00,-39.06305694580078,-29.314903259277344,1006.7427368164062,36.66179495557539
2004-03-24 12:00:00,-39.423423767089844,-29.45913314819336,1007.9102172851562,24.344105909892466
2004-03-24 18:00:00,-39.78377914428711,-29.387020111083984,1006.9954223632812,43.02252460845806
2004-03-25 00:00:00,-40.28828048706055,-29.170671463012695,1008.1785888671875,54.4383565066572
2004-03-25 06:00:00,-40.792789459228516,-28.810094833374023,1006.828125,63.220727738682235
2004-03-25 12:00:00,-41.441436767578125,-28.810094833374023,1008.3978881835938,55.167964713887955
2004-03-25 18:00:00,-41.65765380859375,-28.449520111083984,1007.323486328125,16.42102493831754
2004-03-26 00:00:00,-42.37837600708008,-28.8822078704834,1008.2737426757812,44.17914467449339
2004-03-26 06:00:00,-43.09909439086914,-29.02644157409668,1005.1567993164062,60.178937786951295
2004-03-26 12:00:00,-43.38738250732422,-29.387020111083984,1005.5005493164062,109.72894639930833
2004-03-26 18:00:00,-43.603599548339844,-29.81970977783203,1003.6141357421875,147.12160551633394
2004-03-27 00:00:00,-44.180179595947266,-30.108171463012695,1003.8407592773438,170.26754115426857
2004-03-27 06:00:00,-44.75675582885742,-30.468748092651367,1002.8032836914062,203.66272699915191
2004-03-27 12:00:00,-45.26125717163086,-30.468748092651367,1001.9323120117188,165.4618736396395
2004-03-27 18:00:00,-45.837833404541016,-30.540864944458008,998.7042846679688,160.87596587721413
2004-03-28 00:00:00,-45.909908294677734,-30.612977981567383,1000.0477905273438,1488.5631930660504
2004-03-28 06:00:00,-46.34233856201172,-30.90144157409668,997.4724731445312,1487.4920030942417
2004-03-28 12:00:00,-46.19819641113281,-31.117786407470703,996.440185546875,1469.2424180401413
2004-03-28 18:00:00,-46.19819641113281,-31.33413314819336,993.8236694335938,1431.2226937006456
