,rmse,ccoef
kessler_freitas,0.36636948077608966,0.7396286844801389
kessler_ntiedtke,0.05447031509898744,0.9655781764473881
kessler_off,0.29516034965233084,0.7884845248391175
kessler_tiedtke,0.2650386669259426,0.8053681459429928
off_freitas,0.7666459293132971,0.2793652624120518
off_ntiedtke,0.2823125375348772,0.7730432037579128
off_off,1.0,0.0
off_tiedtke,0.8659056775053496,0.16495732061257692
thompson_freitas,0.3331490426750993,0.7682600817562618
thompson_fritsch,0.23637436752547472,0.8286039405276201
thompson_ntiedtke,0.01665516483471513,0.9850003324989886
thompson_off,0.2876464450672691,0.7882943470544745
thompson_tiedtke,0.24285902302353157,0.8193035320512236
wsm6_freitas,0.30359480873648537,0.7917754745559653
wsm6_fritsch,0.20833998897234599,0.8587358964007431
wsm6_ntiedtke,0.0,1.0
wsm6_off,0.2131009148221835,0.8448765875168155
wsm6_tiedtke,0.2167757815569387,0.8442611858977457
