,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,Date,Hour,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RGe,RKz,RKe
0,75474.02422373823,118656.9306755911,897568.3488765256,280336.9455787587,-0.7644264376756137,-0.6775869926897969,-1.9476856585700455,3.5399493494432166,1.0779570046327767,0.598389127674563,-13.755826371762767,4.806277072984766,49.155856329713195,5.33335458233349,-1.1863962510509916,1.6089912648419764,2004-03-21,1,-1.6527902060957018,4.915333067228078,0.9939076010466993,5.945936754750939,-4.172760641093889,8.534480281686529,-17.461846069055127,4.34797532624709
1,69523.9794817937,136352.12971761217,901146.4162402938,301742.3178958621,0.8005303888982,-0.6358965569464522,-2.1978867745054065,4.186578971490359,1.3663614219560603,0.7168268950946127,-14.250122178728763,5.28670266807919,49.32193340847099,1.9617926146713778,0.8168435782316069,3.600159216007494,2004-03-21,2,-2.0981964217474656,3.76034945620159,1.4406059361273624,5.265152734935877,-3.299924011751778,7.865998089543789,-17.08808450046333,6.406015679139079
2,60367.00998715648,145731.44676024254,907940.7116166427,318246.04527029704,0.030038303898186212,-0.7504216641255584,-1.8102864452760163,3.7580804405237664,1.1358988130807819,0.8969674682970484,-13.405754026336753,5.086954032609489,52.68237412075776,3.096735131836683,0.0461863067581607,2.693879914434541,2004-03-21,3,-0.4200079430750116,2.0838356110961267,2.9999608356887215,5.9973665545334285,-2.2762901163831657,5.695370247448403,-18.185963003403305,4.657954363875843
3,66499.92229165362,151355.74611750428,922746.1342572526,344923.3570885028,1.0649816185806575,-0.7084417161753835,-2.2069490500267115,4.033955649690418,1.2454862701861347,0.6655674695303009,-14.74175498747668,6.3130774127547165,45.143480673025174,2.250584156849853,1.2875991419861514,2.713851110237793,2004-03-21,4,1.4153888451439192,1.4366704669415211,0.06061592647783174,5.449907383251816,0.5264424773630585,5.513500363277021,-15.944338345400565,7.10407472922003
4,70557.8096721927,156075.4741222215,908377.146287283,357485.3784297101,0.8670401553593573,-0.7158301930734255,-1.964757162517184,3.861338154045061,1.150448539687064,0.6824966523879205,-13.854682781230245,6.429875151625361,39.621526925398925,2.4554948388108855,1.221988960762896,2.1101702547696246,2004-03-21,5,2.1881388164610267,1.4517955332526697,-8.734406641850333,4.667434963196769,1.1889002390598942,5.346467227983236,-6.21799314653774,7.588535504990838
5,82254.52177017301,161808.6739569235,859858.4064359302,378528.8888235195,1.0495878491905786,-0.7379146425734957,-1.458957213442268,3.281648024156042,1.1736958340927437,0.41576413630151127,-13.027137475841993,5.558766825528323,38.302505968162784,2.3368665543781706,1.42208952987248,1.677640740203469,2004-03-21,6,1.0479305274144322,0.4693638692985082,-9.074299505272906,8.245463735069757,0.18590789993877133,4.0731623997265345,-4.362207334820777,2.0539083280568766
6,78102.90946957661,159454.89398117075,843042.1898493181,416852.71732221235,1.4980091379210034,-0.7993914059625197,-1.9999650591550306,4.175719560480711,1.4645790194296713,0.17294081022162647,-14.525092642430288,6.619811722481149,39.887092782289535,-1.0009205107369221,1.669146374022764,2.5373059318648727,2004-03-21,7,4.847461804872601,0.03274475960334207,-7.124272199448848,4.932217998792201,4.0815005174014125,4.834914915824946,-7.902776364215466,7.86327834332469
7,117156.24676525574,162044.43622606757,808563.6465998985,414040.85841482336,1.3088663572704569,-0.9036260226314586,-1.0186738516548035,2.8310101267185734,1.835613465074587,0.1004289150850043,-13.136609261709362,4.525628658624063,30.173512480753857,3.5753038754950914,1.5095645410941998,1.7638593361706207,2004-03-21,8,2.607014263097784,-0.0087171799424929,-9.515496347953416,2.69210688280797,1.1766411326621953,3.625490054322535,-3.330920408140292,5.68320575418947
8,96873.41216388065,159392.1302855848,774530.6161440535,436235.88687842974,0.38832702234023997,-0.9344288975972942,-1.2167706111044674,2.9582984143468045,1.343859343710842,0.3007237076881859,-13.617654205334674,6.233453319977291,29.433108318343272,3.189637971968857,0.8277767128445122,2.445603178149635,2004-03-21,9,1.4895387167866303,0.15146159769244452,-8.389183637854295,5.689403016687631,-0.40042250218126585,3.743465201948357,-6.056914156244606,4.719119328740931
9,127880.92552611948,163134.95972945317,748161.5244073475,455004.5601349743,1.9711795050455412,-1.0479464133926921,-1.2125585479947156,3.36136198706339,2.095838639797415,-0.034208551444109996,-13.707312277455047,4.249934800268723,27.251019648105146,3.356130774544778,2.060822560808272,2.336473663532964,2004-03-21,10,0.6780974952005696,1.8133899684874388,-8.167144437571519,6.810817204415936,-0.49450805294399647,6.256906920387631,-4.7815468828327035,2.0130381309108927
