,distance,minimum presure
ERA5,0.0,0.44631836382381856
kessler_freitas,0.10139641909259488,0.07874937060925025
kessler_ntiedtke,0.7483195406834888,0.25519936701273166
kessler_off,0.1802345545770681,0.11996627264807666
kessler_tiedtke,0.8693848098069096,0.2073944421799698
off_freitas,0.9783714815242058,0.8721949153219684
off_ntiedtke,0.545774450615213,0.42111396168508886
off_off,1.0,1.0
off_tiedtke,0.8724762500679868,0.7704254281855164
thompson_freitas,0.14168026635636483,0.010174151421424062
thompson_fritsch,0.3042254120130468,0.0
thompson_ntiedtke,0.5561589405087359,0.2358333133526746
thompson_off,0.13928431807416133,0.12175574044325094
thompson_tiedtke,0.3047083772908674,0.19120451403041855
wsm6_freitas,0.23134642411331155,0.08386521846852248
wsm6_fritsch,0.4017006393577009,0.004468474516667866
wsm6_ntiedtke,0.5449616058502265,0.17715011868511282
wsm6_off,0.11380386493584628,0.10659521583107552
wsm6_tiedtke,0.28115474058862483,0.15376235803741978
