,mean_dist,std
kessler_freitas,102.67096447998532,74.527605999236
wsm6_fritsch,126.54887830934257,60.32098266225432
wsm6_tiedtke,116.96398276325465,72.33649673361386
wsm6_ntiedtke,137.939903750141,84.84008897936529
wsm6_freitas,113.00360322635382,74.33141543236187
wsm6_off,103.65751046467389,58.340294263836306
thompson_fritsch,118.79838756706144,66.46244114636532
thompson_tiedtke,118.83678930272866,78.60484757456973
thompson_ntiedtke,138.83023087194547,99.68752097325297
thompson_freitas,105.87403046697057,66.25698793860683
thompson_off,105.68352283250726,57.548223464641104
kessler_tiedtke,163.73557622348517,107.21334811794156
kessler_ntiedtke,154.10938428617231,97.41034554595832
kessler_off,108.93957503731814,64.51532425040622
off_tiedtke,163.9813841048977,55.29822710975878
off_ntiedtke,138.00453500053723,35.817009950658324
off_freitas,172.4013697095597,66.6432399339599
off_off,174.12110544942297,87.93957427497854
ERA5,94.60869031160694,27.162581958888346
