,rmse,ccoef,d_index
kessler_freitas,0.4123014118197204,0.6960212667932828,0.9099384797446365
kessler_ntiedtke,0.06715412973052597,0.919817013082953,0.932430831218228
kessler_off,0.508243315518544,0.5642646948849827,0.8827762386314378
kessler_tiedtke,0.43970880337120016,0.6383465057547729,0.9012961821860578
off_freitas,0.7931926173033418,0.4476183315718827,0.290277892399057
off_ntiedtke,0.3332683890046251,0.8293425905090305,0.7065431324402981
off_off,1.0,,0.0
off_tiedtke,0.8653698564801547,0.0,0.18005421645396655
thompson_freitas,0.42939830146292635,0.7865376864419378,0.9326427762522969
thompson_fritsch,0.29474388126954765,0.7744615141848148,0.9438161179615283
thompson_ntiedtke,0.0,1.0,0.9939361416952096
thompson_off,0.14630346051145424,0.9114155237006666,0.9443394444211595
thompson_tiedtke,0.31322703603665064,0.8258128043267078,0.9446815511931149
wsm6_freitas,0.31161559164284186,0.8384851762662664,0.9527352782360762
wsm6_fritsch,0.2912771890220183,0.8118957173049514,0.9657425322964497
wsm6_ntiedtke,0.029519835390595606,0.9804979313094726,1.0
wsm6_off,0.2686550789030532,0.819801624294902,0.9403514762062475
wsm6_tiedtke,0.40471679087120216,0.7742628534810202,0.9528552176785164
