,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge
mp_kessler-cu_grell_freitas,0.19199533347303419,0.19068307803944143,0.7603674254311726,0.0,0.04888456800545351,0.2018186814617214,0.26719600363146384,0.3147575273529926
mp_kessler-cu_ntiedtke,0.13394157595583073,0.13822337544672242,0.016478518769885372,0.25204056453676593,0.08050937050605768,0.3093967725349544,0.5593407473475089,0.324930471005311
mp_kessler-cu_tiedtke,0.13652022182493576,0.25799919278827455,0.15664431776055956,0.09919795386234725,0.0559374132306965,0.3505586633634454,0.33320847792659664,0.4453610395170489
mp_kessler-off,0.15120786910672063,0.2544567385641758,0.24524686362359846,0.010069050157191816,0.07285019531968827,0.2432068121957748,0.1469975997551526,0.302234440341356
mp_thompson-cu_grell_freitas,0.17880712621147637,0.07225514642063431,0.5132953271649875,0.15210859962439863,0.048486042479611614,0.02056207787443686,0.0710334263630831,0.0894489962315524
mp_thompson-cu_kain_fritsch,0.19333776203139977,0.20022491496170455,0.03710004063715328,0.15606937656996336,0.006474710612408601,0.2305905554932415,0.059316704157139355,0.2591748906633469
mp_thompson-cu_ntiedtke,0.21731940085747656,0.12000370947233188,0.019331180521277757,0.20281004595475866,0.005194069709748816,0.18694048881655204,0.09659347601940538,0.16459431771874958
mp_thompson-cu_tiedtke,0.11530027346405777,0.048970612729635904,0.14694554628559942,0.09050286931014812,0.007923441381025872,0.1213883062149476,0.0,0.1427643096101069
mp_thompson-off,0.032115079643379785,0.13160197728962839,0.22833551939885002,0.11949013789858498,0.041818162316027384,0.047549175642519724,0.11882348614665762,0.055412281523914635
mp_wsm6-cu_grell_freitas,0.13749199207568574,0.034278590853374896,0.6547231639445381,0.1884990459048195,0.04938564435465096,0.03603520974784737,0.24217633537586428,0.11134602839267432
mp_wsm6-cu_kain_fritsch,0.28811905067423854,0.12558269606806144,0.0,0.13223213377156562,0.005842807536080888,0.21169481755304714,0.041554028717035146,0.24129240173930216
mp_wsm6-cu_ntiedtke,0.16803279236420454,0.12503149352528092,0.01001328733732893,0.2312360755811091,0.0,0.1605995235222685,0.13883552028164323,0.1252217800795477
mp_wsm6-cu_tiedtke,0.08269489731222797,0.0,0.15001378441086705,0.1482719774449405,0.011488261895126684,0.12837242501983442,0.062844376912305,0.11681390229224031
mp_wsm6-off,0.0,0.06220046538046318,0.16989171384155896,0.10953987321741354,0.027027865327049646,0.0,0.10154556009633085,0.0
off-cu_grell_freitas,0.3737156673190205,0.9013495391211561,0.7397910447956151,1.0,0.13607026058908908,0.7700271247185011,1.0,0.7358380607426509
off-cu_ntiedtke,0.22194360319323353,0.347894120129091,0.9241907397164345,0.8370489939055391,0.060736089587911844,0.39888511782800423,0.8418020174881042,0.3809098146313406
off-cu_tiedtke,1.0,0.5977451401740603,0.8983697058203075,0.8023269762104859,0.11227704977284209,0.8085719130961859,0.5698654049950549,0.7732660411747784
off-off,0.8800897220788542,1.0,1.0,0.7876998892892412,0.16628234309754575,1.0,0.36806737794526123,1.0
off-tiedtke,0.7054137479278987,0.6201410133789531,0.6337603489047322,0.5980752600815947,1.0,0.7707012873060413,0.20768752216187733,0.8059681536188609
