,rmse,ccoef
kessler_freitas,1.0,0.0
kessler_ntiedtke,0.10700153566996044,0.8918868119466847
kessler_off,0.7645708869238501,0.189182755379109
kessler_tiedtke,0.8237584812728944,0.07977391195119685
thompson_freitas,0.6476679391852231,0.3720661467769626
thompson_fritsch,0.38149814287953726,0.6013738720720044
thompson_ntiedtke,0.0,1.0
thompson_off,0.5971530718685332,0.3360495474297085
thompson_tiedtke,0.47229240897835784,0.4682346972126528
wsm6_freitas,0.6639957592018323,0.3925479362270792
wsm6_fritsch,0.4528595304349036,0.5836563763517136
wsm6_ntiedtke,0.012930859138795277,0.9981506609949208
wsm6_off,0.5202916506862876,0.45038493766419346
wsm6_tiedtke,0.5309908250646908,0.4371223602112199
