,rmse,ccoef
kessler_freitas,0.9566327880717126,0.07678962561451458
kessler_ntiedtke,0.0,1.0
kessler_off,0.7995264573149913,0.20583746156654192
kessler_tiedtke,0.7061397653736017,0.27054067516407715
thompson_freitas,1.0,0.04405437040224268
thompson_fritsch,0.8784044133724741,0.11848996895663338
thompson_ntiedtke,0.10179418126838455,0.8781052803731271
thompson_off,0.9798221976245238,0.0
thompson_tiedtke,0.6998681106516816,0.2618973563912949
wsm6_freitas,0.9970578369235656,0.05599306194466115
wsm6_fritsch,0.8602102391599431,0.1830344493971561
wsm6_ntiedtke,0.09248250136119997,0.9075265388766739
wsm6_off,0.8105742835000006,0.17851319696541754
wsm6_tiedtke,0.7458345534785356,0.24338091445257024
