,rmse,ccoef
kessler_freitas,1.0,0.0
kessler_ntiedtke,0.1737287161242709,0.8420736589717626
kessler_off,0.8548680641002374,0.16199067648978652
kessler_tiedtke,0.6027147131050444,0.43214470982988595
thompson_freitas,0.8328487525671889,0.19103088399328197
thompson_fritsch,0.5094360279089944,0.5305694625187206
thompson_ntiedtke,0.01096050848238703,0.9883228665382253
thompson_off,0.6541466375709694,0.36716766310259097
thompson_tiedtke,0.38001295048746286,0.645394155443811
wsm6_freitas,0.7104016264857101,0.3026661125224832
wsm6_fritsch,0.41418637832584715,0.6112357241955929
wsm6_ntiedtke,0.0,1.0
wsm6_off,0.5521511118817278,0.46140527128089587
wsm6_tiedtke,0.38838340854258796,0.6395058209522057
