,Date,Hour,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RGe,RKz,RKe
0,2004-03-21,13,116312.37528729782,136146.24742822108,425438.22372034384,715599.7703619911,-1.282315675623603,-1.5920059349219002,-0.9994559759985505,6.0476794122645074,3.042980498363126,-2.412485016236971,-3.914340954390711,-1.35948341739945,0.9664138050701857,3.927422684165978,2.7686578646321385,1.159548252185923,2.042984216451829,-0.9357030954607439,-3.1486442442764906,11.211718615609302,-8.239096822464694,6.6233550663243514
1,2004-03-21,14,126279.54359997352,140320.6211360904,432792.9668995704,712231.2392183325,-0.2320369071559688,-1.5577501863738463,-1.034088388383446,5.414484743171655,2.74546613059156,-2.2559431762480524,-4.091587324726179,-1.6480906166213534,2.265536657749105,5.995139725791256,2.482455441333291,1.7837760199016743,1.7744411819025603,-0.7172360937656453,-2.052797782788084,11.011954125695228,-7.132153802168154,5.5177186086993935
2,2004-03-21,15,134186.05446489752,148989.43477151313,438214.2002300423,710435.6704868785,-0.2387507861796272,-1.5205551694446662,-1.3008634910888945,5.309015535229973,2.8205018524540235,-2.3273780972448748,-4.487527101795892,-2.4124874631056588,2.4477775783486218,6.623402908122563,2.575356959066699,2.5425844075183015,1.8619054773609727,-0.2679889399390312,-2.0044508490116177,11.699533209437815,-7.889046856425386,4.4653805031522396
3,2004-03-21,16,144822.11370525375,158627.22887022217,446198.68633656943,710301.7188507714,-1.4641253303744974,-1.8426228923476777,-1.8273666584419015,7.2483259349966,3.0710547239714567,-2.376928323249353,-4.279201974159883,-3.0272687076641285,1.85628213520999,8.335952860733533,2.6735607560984986,2.563315299329212,3.075731805744581,-1.029230019103173,-3.7042421905951333,14.031192449922841,-10.646425768720864,7.077653904877546
4,2004-03-21,17,153435.6919088067,167445.30492668346,460359.46923140326,703025.2143493356,-1.9088229897531919,-1.7966655656643071,-2.18348349265793,7.3093796357228085,3.1794482663243877,-2.4581788825649764,-3.5606232775003104,-3.7235923912556874,0.5128929765459694,8.483490362088542,2.1307480584128844,2.142571606999259,3.1143264258466177,-1.6353155634437118,-4.754188763329003,13.70679569095135,-10.76725618575805,7.404586300568763
5,2004-03-21,18,160163.49972582652,174053.74444061684,468621.8366026651,698527.4467939767,-1.9158582712907744,-1.8724339314177694,-2.449359784614805,8.876496909012488,3.2525308498654906,-2.808825322830635,-2.940791781625319,-4.589160712582387,-0.4051481037947786,9.858461807812521,1.154375126916077,1.7320730686115227,3.0571115694112327,-1.2881916422149031,-5.886447925657958,15.289829231872414,-10.363121406942131,8.024887623259808
6,2004-03-21,19,161747.19282260246,179916.23102068642,482370.67253116413,693750.2345253883,-0.26359696948998507,-1.8423276590983348,-2.4718036675585147,5.5919675521347365,3.2802818444930217,-2.899974998080012,-1.8401264595133224,-5.115583271258085,-0.3814323731677995,5.385567861963851,-0.2339930113286957,0.6251356115227059,3.5539222266989317,-1.5679667213002297,-5.620199484410037,10.959405820835789,-8.129449323260754,4.516154669735396
7,2004-03-21,20,158478.7500442599,178554.72084358032,494210.0766348974,687238.086400615,0.26374629445430803,-1.701949018504474,-2.6483788858721797,4.689687586596552,3.276395088565083,-2.80613615557818,-0.6877194938171356,-5.845558409351421,-0.7976938545430081,3.094980448556713,-1.294990930220746,-0.8215705188993201,2.4114775859456374,-1.203546399347235,-6.009588742835995,8.376202241779886,-5.483829671180645,2.696054462464547
8,2004-03-21,21,152423.2581250131,174000.92328461132,499733.3111499727,685084.7004500882,-1.2160497647725277,-2.2961987672745665,-3.1590248359613153,6.616728845290449,3.2801165424663594,-2.967221785882938,0.018619530174135077,-5.829081460917591,-2.1272018282906737,4.610724515370176,-1.7357824950571215,-1.6374614335187976,1.1075672065513047,-0.5825389940624235,-8.528147569570574,10.242687964929157,-5.464022277111013,4.529211214396597
9,2004-03-21,22,145981.11607984864,166764.99852224498,502184.5605220668,683043.8056433656,0.674730920292996,-1.5979577200986603,-3.4088544716438336,1.7478563725942908,3.2961090952018104,-3.2062039464707905,1.2812085323491695,-6.461385790139793,-0.9397284388526488,0.5424248762940636,-1.7502163289840407,-1.8512984467297064,0.37554570634194534,-1.0722981924327581,-5.969552223991515,4.7007195924340355,-1.8284607253436134,-0.23237675346890985
