,lon,lat,min,distance
2004-03-21 01:00:00,-44.68468475341797,-22.319711685180664,812.275390625,598.5105915625879
2004-03-21 02:00:00,-44.68468475341797,-22.319711685180664,812.748291015625,598.5105915625879
2004-03-21 03:00:00,-44.68468475341797,-22.319711685180664,812.6718139648438,606.1674000710686
2004-03-21 04:00:00,-44.68468475341797,-22.319711685180664,811.9059448242188,606.1674000710686
2004-03-21 05:00:00,-44.68468475341797,-22.319711685180664,811.162841796875,614.7658638780515
2004-03-21 06:00:00,-44.68468475341797,-22.319711685180664,810.7899169921875,614.7658638780515
2004-03-21 07:00:00,-44.68468475341797,-22.319711685180664,810.6793823242188,624.2670454885114
2004-03-21 08:00:00,-44.68468475341797,-22.319711685180664,810.605224609375,634.6303704470707
2004-03-21 09:00:00,-44.68468475341797,-22.319711685180664,811.3680419921875,670.4104673154031
2004-03-21 10:00:00,-44.68468475341797,-22.319711685180664,811.5035400390625,681.9173582844068
2004-03-21 11:00:00,-44.68468475341797,-22.319711685180664,812.1478881835938,681.9173582844068
2004-03-21 12:00:00,-44.68468475341797,-22.319711685180664,812.66845703125,694.1495440869517
2004-03-21 13:00:00,-44.68468475341797,-22.319711685180664,812.9569702148438,707.0693425192961
2004-03-21 14:00:00,-44.68468475341797,-22.319711685180664,813.1886596679688,743.6936442707572
2004-03-21 15:00:00,-44.68468475341797,-22.319711685180664,812.6570434570312,780.3393513421782
2004-03-21 16:00:00,-44.68468475341797,-22.319711685180664,812.8264770507812,808.602818381414
2004-03-21 17:00:00,-44.68468475341797,-22.319711685180664,812.030517578125,830.9768178212584
2004-03-21 18:00:00,-44.68468475341797,-22.319711685180664,811.3384399414062,882.3212230449864
2004-03-21 19:00:00,-44.68468475341797,-22.319711685180664,811.3961791992188,919.1499212547752
2004-03-21 20:00:00,-44.68468475341797,-22.319711685180664,811.9994506835938,955.9548555053989
2004-03-21 21:00:00,-44.68468475341797,-22.319711685180664,812.0585327148438,971.0830182237873
2004-03-21 22:00:00,-44.68468475341797,-22.319711685180664,813.0606079101562,1007.8976971139921
2004-03-21 23:00:00,-44.68468475341797,-22.319711685180664,813.6094360351562,1051.3579433273846
2004-03-22 00:00:00,-44.68468475341797,-22.319711685180664,813.7271118164062,1088.0120988150763
2004-03-22 01:00:00,-44.68468475341797,-22.319711685180664,814.0216674804688,1124.6385948124855
2004-03-22 02:00:00,-44.68468475341797,-22.319711685180664,813.53173828125,1139.555341494051
2004-03-22 03:00:00,-44.68468475341797,-22.319711685180664,813.5098266601562,1176.1797606239852
2004-03-22 04:00:00,-44.68468475341797,-22.319711685180664,813.260986328125,1176.1797606239852
2004-03-22 05:00:00,-44.68468475341797,-22.319711685180664,813.1084594726562,1212.7693249137908
2004-03-22 06:00:00,-44.68468475341797,-22.319711685180664,812.7111206054688,1212.7693249137908
2004-03-22 07:00:00,-44.68468475341797,-22.319711685180664,813.5133666992188,1249.3229686744107
2004-03-22 08:00:00,-44.68468475341797,-22.319711685180664,813.8560791015625,1264.6185797793999
2004-03-22 09:00:00,-44.68468475341797,-22.319711685180664,814.2588500976562,1264.6185797793999
2004-03-22 10:00:00,-44.68468475341797,-22.319711685180664,814.5979614257812,1280.2115829754694
2004-03-22 11:00:00,-44.68468475341797,-22.319711685180664,815.3057250976562,1280.2115829754694
2004-03-22 12:00:00,-44.68468475341797,-22.319711685180664,815.764892578125,1296.0911846036342
2004-03-22 13:00:00,-44.68468475341797,-22.319711685180664,815.706787109375,1296.0911846036342
2004-03-22 14:00:00,-44.68468475341797,-22.319711685180664,815.9306030273438,1296.0911846036342
2004-03-22 15:00:00,-44.68468475341797,-22.319711685180664,815.6209106445312,1275.7166761776507
2004-03-22 16:00:00,-44.68468475341797,-22.319711685180664,814.9210815429688,1275.7166761776507
2004-03-22 17:00:00,-44.68468475341797,-22.319711685180664,814.3892211914062,1255.6204029168787
2004-03-22 18:00:00,-44.68468475341797,-22.319711685180664,814.0564575195312,1235.8158648753692
2004-03-22 19:00:00,-44.68468475341797,-22.319711685180664,814.251708984375,1216.3172381138995
2004-03-22 20:00:00,-44.68468475341797,-22.319711685180664,814.3590698242188,1216.3172381138995
2004-03-22 21:00:00,-44.68468475341797,-22.319711685180664,814.7294311523438,1197.1393952006847
2004-03-22 22:00:00,-44.68468475341797,-22.319711685180664,815.096435546875,1197.1393952006847
2004-03-22 23:00:00,-44.68468475341797,-22.319711685180664,815.5692749023438,1197.1393952006847
2004-03-23 00:00:00,-44.68468475341797,-22.319711685180664,815.66064453125,1179.7224544052644
