,lon,lat,min,distance
2004-03-21 01:00:00,-44.68468475341797,-22.319711685180664,812.2698974609375,598.5105915625879
2004-03-21 02:00:00,-44.68468475341797,-22.319711685180664,812.7320556640625,598.5105915625879
2004-03-21 03:00:00,-44.68468475341797,-22.319711685180664,812.7160034179688,606.1674000710686
2004-03-21 04:00:00,-44.68468475341797,-22.319711685180664,811.88818359375,606.1674000710686
2004-03-21 05:00:00,-44.68468475341797,-22.319711685180664,811.2002563476562,614.7658638780515
2004-03-21 06:00:00,-44.68468475341797,-22.319711685180664,810.849853515625,614.7658638780515
2004-03-21 07:00:00,-44.68468475341797,-22.319711685180664,810.7089233398438,624.2670454885114
2004-03-21 08:00:00,-44.68468475341797,-22.319711685180664,810.609619140625,634.6303704470707
2004-03-21 09:00:00,-44.68468475341797,-22.319711685180664,811.425048828125,670.4104673154031
2004-03-21 10:00:00,-44.68468475341797,-22.319711685180664,811.635986328125,681.9173582844068
2004-03-21 11:00:00,-44.68468475341797,-22.319711685180664,812.2496948242188,681.9173582844068
2004-03-21 12:00:00,-44.68468475341797,-22.319711685180664,812.816650390625,694.1495440869517
2004-03-21 13:00:00,-44.68468475341797,-22.319711685180664,813.2505493164062,707.0693425192961
2004-03-21 14:00:00,-44.68468475341797,-22.319711685180664,813.3872680664062,743.6936442707572
2004-03-21 15:00:00,-44.68468475341797,-22.319711685180664,812.8519287109375,780.3393513421782
2004-03-21 16:00:00,-44.68468475341797,-22.319711685180664,813.0465087890625,808.602818381414
2004-03-21 17:00:00,-44.68468475341797,-22.319711685180664,812.4093627929688,830.9768178212584
2004-03-21 18:00:00,-44.68468475341797,-22.319711685180664,811.6652221679688,882.3212230449864
2004-03-21 19:00:00,-44.68468475341797,-22.319711685180664,811.7149047851562,919.1499212547752
2004-03-21 20:00:00,-44.68468475341797,-22.319711685180664,812.379150390625,955.9548555053989
2004-03-21 21:00:00,-44.68468475341797,-22.319711685180664,812.564697265625,971.0830182237873
2004-03-21 22:00:00,-44.68468475341797,-22.319711685180664,813.4241333007812,1007.8976971139921
2004-03-21 23:00:00,-44.68468475341797,-22.319711685180664,814.003662109375,1051.3579433273846
2004-03-22 00:00:00,-44.68468475341797,-22.319711685180664,814.162109375,1088.0120988150763
2004-03-22 01:00:00,-44.68468475341797,-22.319711685180664,814.4436645507812,1124.6385948124855
2004-03-22 02:00:00,-44.68468475341797,-22.319711685180664,814.000244140625,1139.555341494051
2004-03-22 03:00:00,-44.68468475341797,-22.319711685180664,814.08837890625,1176.1797606239852
2004-03-22 04:00:00,-44.68468475341797,-22.319711685180664,813.7991943359375,1176.1797606239852
2004-03-22 05:00:00,-44.68468475341797,-22.319711685180664,813.5384521484375,1212.7693249137908
2004-03-22 06:00:00,-44.68468475341797,-22.319711685180664,813.0167236328125,1212.7693249137908
2004-03-22 07:00:00,-44.68468475341797,-22.319711685180664,813.64404296875,1249.3229686744107
2004-03-22 08:00:00,-44.68468475341797,-22.319711685180664,814.0928955078125,1264.6185797793999
2004-03-22 09:00:00,-44.68468475341797,-22.319711685180664,814.4034423828125,1264.6185797793999
2004-03-22 10:00:00,-44.68468475341797,-22.319711685180664,814.6249389648438,1280.2115829754694
2004-03-22 11:00:00,-44.68468475341797,-22.319711685180664,815.4718627929688,1280.2115829754694
2004-03-22 12:00:00,-44.68468475341797,-22.319711685180664,815.849365234375,1296.0911846036342
2004-03-22 13:00:00,-44.68468475341797,-22.319711685180664,815.703125,1296.0911846036342
2004-03-22 14:00:00,-44.68468475341797,-22.319711685180664,815.7023315429688,1296.0911846036342
2004-03-22 15:00:00,-44.68468475341797,-22.319711685180664,815.2086181640625,1275.7166761776507
2004-03-22 16:00:00,-44.68468475341797,-22.319711685180664,814.4076538085938,1275.7166761776507
2004-03-22 17:00:00,-44.68468475341797,-22.319711685180664,814.1520385742188,1255.6204029168787
2004-03-22 18:00:00,-44.68468475341797,-22.319711685180664,814.0982666015625,1235.8158648753692
2004-03-22 19:00:00,-44.68468475341797,-22.319711685180664,813.8386840820312,1216.3172381138995
2004-03-22 20:00:00,-44.68468475341797,-22.319711685180664,814.1486206054688,1216.3172381138995
2004-03-22 21:00:00,-44.68468475341797,-22.319711685180664,814.7760009765625,1197.1393952006847
2004-03-22 22:00:00,-44.68468475341797,-22.319711685180664,815.341552734375,1197.1393952006847
2004-03-22 23:00:00,-44.68468475341797,-22.319711685180664,815.6019287109375,1197.1393952006847
2004-03-23 00:00:00,-44.68468475341797,-22.319711685180664,815.7913818359375,1179.7224544052644
