,lon,lat,min,distance
2004-03-21 01:00:00,-43.09909439086914,-27.295673370361328,1004.2805786132812,24.67159035782248
2004-03-21 02:00:00,-43.09909439086914,-27.07932472229004,1003.8507690429688,47.63535346298779
2004-03-21 03:00:00,-43.17116928100586,-26.862977981567383,1003.4599609375,82.00147202770731
2004-03-21 04:00:00,-43.09909439086914,-26.790864944458008,1003.39013671875,85.85852705234653
2004-03-21 05:00:00,-42.95494842529297,-26.790864944458008,1002.6971435546875,90.5979051920247
2004-03-21 06:00:00,-42.81080627441406,-26.862977981567383,1003.5330810546875,77.01286706959327
2004-03-21 07:00:00,-42.738739013671875,-26.862977981567383,1002.4020385742188,85.60358785183288
2004-03-21 08:00:00,-42.59458923339844,-26.862977981567383,1003.0349731445312,91.94560902633488
2004-03-21 09:00:00,-42.45044708251953,-26.935094833374023,1003.75732421875,113.8319487084279
2004-03-21 10:00:00,-42.30630111694336,-27.00720977783203,1003.8612060546875,114.61260709722195
2004-03-21 11:00:00,-42.16216278076172,-27.07932472229004,1004.70703125,99.04872414093535
2004-03-21 12:00:00,-42.01801300048828,-27.223556518554688,1005.0062866210938,95.72615652431095
2004-03-21 13:00:00,-41.873870849609375,-27.295673370361328,1005.3031005859375,99.93783945845016
2004-03-21 14:00:00,-41.5855827331543,-27.367788314819336,1005.4098510742188,108.17753243488855
2004-03-21 15:00:00,-41.36936569213867,-27.512020111083984,1006.1177978515625,118.39067778620652
2004-03-21 16:00:00,-41.15314865112305,-27.656248092651367,1005.9219970703125,131.17061129561293
2004-03-21 17:00:00,-40.93693542480469,-27.728363037109375,1005.6968383789062,125.64884790266947
2004-03-21 18:00:00,-40.64864730834961,-27.800477981567383,1004.8917236328125,154.1841789877254
2004-03-21 19:00:00,-40.432430267333984,-27.94470977783203,1005.3432006835938,164.57845897707773
2004-03-21 20:00:00,-40.21621322631836,-28.01682472229004,1005.7056274414062,181.16487554334398
2004-03-21 21:00:00,-53.11711502075195,-20.012020111083984,1006.5503540039062,1775.8748490716505
2004-03-21 22:00:00,-39.78377914428711,-28.23317527770996,1007.3228149414062,188.14972810660035
2004-03-21 23:00:00,-39.567562103271484,-28.377403259277344,1007.7056274414062,207.6647239212786
2004-03-22 00:00:00,-52.756752014160156,-20.012020111083984,1008.3383178710938,1847.915311406199
2004-03-22 01:00:00,-39.20720291137695,-28.737977981567383,1008.3148193359375,227.6302180858857
2004-03-22 02:00:00,-38.990989685058594,-28.95432472229004,1008.0411987304688,209.21109967584275
2004-03-22 03:00:00,-38.84684753417969,-29.170671463012695,1008.2026977539062,218.05664912525972
2004-03-22 04:00:00,-38.63063049316406,-29.387020111083984,1008.15185546875,186.310730689828
2004-03-22 05:00:00,-38.41441345214844,-29.53125,1008.1504516601562,197.64696852073158
2004-03-22 06:00:00,-51.963958740234375,-20.012020111083984,1008.0548706054688,1912.1584179900299
2004-03-22 07:00:00,-37.98197937011719,-29.963939666748047,1008.1691284179688,170.8634569422141
2004-03-22 08:00:00,-54.55855178833008,-20.012020111083984,1008.7196655273438,2174.040964775532
2004-03-22 09:00:00,-54.77477264404297,-20.012020111083984,1009.1407470703125,2191.7874074094366
2004-03-22 10:00:00,-54.77477264404297,-20.012020111083984,1009.3789672851562,2212.390554940536
2004-03-22 11:00:00,-54.846839904785156,-20.012020111083984,1009.9181518554688,2218.346239013911
2004-03-22 12:00:00,-54.846839904785156,-20.012020111083984,1010.5174560546875,2239.0621666678644
2004-03-22 13:00:00,-54.99098587036133,-20.012020111083984,1010.78125,2251.0452909882542
2004-03-22 14:00:00,-54.99098587036133,-20.012020111083984,1010.6953735351562,2251.0452909882542
2004-03-22 15:00:00,-54.99098587036133,-20.012020111083984,1010.2999267578125,2237.6896040661272
2004-03-22 16:00:00,-54.99098587036133,-20.15625,1009.5333862304688,2228.1881217321793
2004-03-22 17:00:00,-52.468467712402344,-20.012020111083984,1008.6708984375,2015.603465990437
2004-03-22 18:00:00,-53.11711502075195,-20.012020111083984,1007.6934204101562,2054.2251597105114
2004-03-22 19:00:00,-54.99098587036133,-20.444711685180664,1007.3848266601562,2172.2184113753156
2004-03-22 20:00:00,-54.99098587036133,-20.444711685180664,1007.3447265625,2172.2184113753156
2004-03-22 21:00:00,-54.99098587036133,-20.444711685180664,1007.9330444335938,2160.3721955066217
2004-03-22 22:00:00,-53.477474212646484,-20.012020111083984,1008.3294067382812,2057.085878829061
2004-03-22 23:00:00,-54.99098587036133,-20.012020111083984,1008.8876953125,2186.8580146904746
2004-03-23 00:00:00,-54.99098587036133,-20.012020111083984,1009.3685913085938,2165.2253441244748
