,Date,Hour,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RGe,RKz,RKe
0,2004-03-21,13,115435.05995169573,138624.7739442451,424907.0325768401,714922.0245640215,-1.1969268429891997,-1.600501926838397,-1.1533534017475957,6.179826789390126,3.0443498332326175,-2.494817245881849,-3.928692126690049,-1.3627821869057433,1.0307801717730851,5.073195292022781,2.4277194782506033,1.8004278743566506,1.7212847191615501,-1.0895467370661531,-3.414059124809611,12.075573836467024,-8.000257090588395,7.059944741298132
1,2004-03-21,14,124174.8500733979,145106.31429192904,431103.65756582166,710999.6563105833,-0.5783228359027621,-1.5603209950405301,-1.1802377355941847,5.58707364393824,2.7853763135649334,-2.5200352061195113,-4.29654580350166,-1.6685641090467762,2.003291213957484,7.003647566432159,2.303729609427917,2.093538011636471,1.3866934736923495,-0.6592685134154291,-2.6202905350803087,11.760967856734752,-7.441799848690956,5.758015783901078
2,2004-03-21,15,132021.91313957673,153698.2476280277,434891.225587425,710175.2912674304,-1.176689561075374,-1.6187557923533114,-1.2568544896032166,6.018007794469623,2.7906624341569373,-2.759390989486804,-4.722399149588701,-2.387904172250541,2.132003791799517,7.523491746197138,2.62941256767597,2.2680015719189677,1.4422382795642383,-0.1479559660304868,-2.9566952199096526,12.664156148228706,-8.59818147983153,5.034914077852786
3,2004-03-21,16,143106.6205606649,161435.9256097456,441487.7731786842,709934.3733551638,-1.7363573978397546,-1.6903464734139162,-1.3881103275935192,6.9932943317230825,2.970729351187547,-2.718051336915024,-4.584207180709692,-3.023165664304223,1.5434268630534966,8.265752595623308,2.702210341647155,1.9752946509944216,3.013237863786748,-1.0144002260835745,-3.695222880794063,13.376986793046445,-10.721912769929714,6.3726392210959535
4,2004-03-21,17,151477.82759943625,167920.36911518752,456586.5382066896,702871.6096396287,-1.8236571202241993,-1.6405753051182266,-1.677508773422326,6.314156872814804,3.116101200484078,-2.6056058114135885,-3.735203388482521,-3.42802519419992,0.7332259167247837,6.968857242146398,2.2006093391535697,1.5056184874943088,3.338623772126852,-1.6148334258808206,-4.379724286672934,12.065956476840928,-10.574993054255899,6.17847387791803
5,2004-03-21,18,158951.0078025706,172276.37871970463,465525.8643379975,698307.5726888219,-1.2629791035249198,-1.8205819887777523,-1.3104866847953942,5.5945932856286635,3.123704065124847,-2.690575049620456,-3.1215159800850447,-4.139509977827995,0.6526229362069546,5.515580063634105,1.3131223921206685,1.114168642224698,3.442286589288471,-1.1570432526524788,-4.89414276530685,11.21991896625157,-9.13726835769383,3.9226132452485416
6,2004-03-21,19,160932.30882270506,175942.38333920535,481371.0016495666,694540.8982205308,-1.224435262183644,-1.840230930257587,-1.820020462298198,4.488232953735482,3.180763644826856,-2.908568647230225,-2.189636159695338,-4.716579944424557,-1.224769305428933,4.277762150876071,-0.1881428962830776,0.4596643708324983,4.072097180739584,-1.4026250554794548,-6.4335727335511645,9.696696902055791,-9.306189064916763,2.994298527088577
7,2004-03-21,20,157596.37894933243,175585.96218969862,494844.9640393225,688208.6722893699,-0.8258653835191451,-1.7727406522558657,-2.1374959177994994,3.3018221734732047,3.2113494736313077,-2.9522070593490977,-1.0428834206225281,-5.3318690863113885,-1.8467434745790343,1.8016942890473422,-1.2953619802056426,-0.7651821883608783,2.9490383657189927,-1.482228131729175,-7.105317489611961,7.26158769671729,-6.955283087660165,1.589677136690491
8,2004-03-21,21,151605.70256522443,170433.07158300703,502604.0778827433,683868.8556720808,0.07191107392744621,-1.706060635639884,-2.722325134886458,2.4773747132720554,3.1495860052803892,-3.1034101073641778,-0.3018815144644492,-6.195155335714135,-1.2300801017185137,0.4242990073990606,-1.7805542251113122,-1.7886992510491149,1.8378725749616085,-1.4004416787938356,-6.564289792104139,5.498146205227002,-4.79016815038507,0.4049861912382138
9,2004-03-21,22,144776.38852853098,162707.327582145,508077.6465790461,678125.4922020542,-0.06917887927693553,-1.697675042645446,-3.3328208743248307,2.151050157786637,3.0953651575781915,-3.2812783474475795,0.7605572316620207,-7.193108785212241,-1.2247120036999497,0.2121581043555567,-1.7884503353583852,-2.1144474642100612,1.1756922775176726,-2.080529350934149,-6.6506694148589585,5.015556083669601,-3.817134799457418,0.37129159783337684
