,distance,minimum presure
thompson_grell_freitas_mynn,0.037015361039482116,0.20354145548523786
thompson_grell_freitas_ysu,0.27159172807093773,0.0
thompson_ntiedtke_mynn,0.3471049759270058,0.4121530916961179
thompson_ntiedtke_ysu,0.7832278959675727,0.44226185583956606
thompson_tiedtke_ysu,0.5891416303341809,0.4232815539300293
wsm6_grell_freitas_mynn,0.0,0.23837885720025936
wsm6_grell_freitas_ysu,0.13541754731527506,0.0715542039944111
wsm6_ntiedtke_mynn,0.3228813408932718,0.4263956238641864
wsm6_ntiedtke_ysu,1.0,0.4074847264458508
wsm6_tiedtke_mynn,0.007123782061857255,0.403857428563601
wsm6_tiedtke_ysu,0.33997041958525964,0.2886204030939792
