,distance,minimum presure,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge,precip,u10,v10,windspeed,mean
thompson_ntiedtke,0.5055294185438582,0.3003380626204276,0.0,1.0,0.2298745714456227,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0264739674317222,0.21872971571725933
thompson_tiedtke,0.0,0.0,0.2943945060545518,0.0,0.0,0.8700610099847031,0.4682420043978133,1.0,0.0,1.0,0.8933035621724651,1.0,1.0,1.0,0.5375715059006809
wsm6_ntiedtke,1.0,0.228682632657849,1.0,0.9558162743973058,1.0,1.0,1.0,0.0961546805755252,0.7500860192271733,0.2220933469584287,1.0,0.0565914562433146,0.046157766289567,0.0,0.5968272983106545
