,rmse,ccoef
thompson_freitas_mynn,0.9615223833827101,0.01062304023390153
thompson_freitas_ysu,1.0,0.0
thompson_ntiedtke_mynn,0.19169491461513544,0.8170453823959651
thompson_ntiedtke_ysu,0.04160777211292231,0.9576333530486316
thompson_tiedtke_ysu,0.48983119822848975,0.526560130646285
wsm6_freitas_mynn,0.8750156931469556,0.08927047053213834
wsm6_freitas_ysu,0.9133671039850333,0.08360376911316096
wsm6_ntiedtke_mynn,0.19174809480252514,0.812272702018956
wsm6_ntiedtke_ysu,0.0,1.0
wsm6_tiedtke_mynn,0.6810740462888172,0.3206116395616089
wsm6_tiedtke_ysu,0.4651914620258443,0.5517946560478003
