,mean_dist,std
thompson_ntiedtke_ysu,124.50141664842226,73.97658540530347
thompson_ntiedtke_mynn,99.64823036593579,62.0122736958806
thompson_tiedtke_ysu,113.44108963279521,65.29021252422137
thompson_grell_freitas_ysu,95.34498297965335,53.87231458786357
thompson_grell_freitas_mynn,81.97726053397359,42.7361357756693
wsm6_ntiedtke_ysu,136.8545337051074,59.57822102431196
wsm6_ntiedtke_mynn,98.26780643894668,62.422247963314554
wsm6_tiedtke_ysu,99.24165586673767,67.08108654482476
wsm6_tiedtke_mynn,80.27383944218721,37.98701914388468
wsm6_grell_freitas_ysu,87.58487195207731,41.82988746075759
wsm6_grell_freitas_mynn,79.86787893315754,41.12882253422318
