,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge
thompson_freitas_mynn,0.849516814002574,1.0,0.8150863633484189,0.28550312677894085,0.6680686873922229,0.07240445828889616,0.590829708905946,0.9695287789758616
thompson_freitas_ysu,0.4655076606827551,0.522306780506986,0.5914383840477303,0.0031839712297299524,0.8673162976224311,0.07106924414174833,0.20254124041771573,0.6591304249441715
thompson_ntiedtke_mynn,1.0,0.5380162750876566,0.19216941483760938,0.9374738781354216,0.05823051437088726,1.0,0.8051893655393959,0.93275117046111
thompson_ntiedtke_ysu,0.7147275226073334,0.7914004997221374,0.0,0.6334585093409775,0.20053777727065358,0.9291030242210135,0.4236444310255824,1.0
thompson_tiedtke_ysu,0.10744632674951823,0.27479638525363054,0.16725820829305446,0.2138318274573363,0.27586581998082876,0.6985888742031461,0.0,0.8961053029178535
wsm6_freitas_mynn,0.07214584332244355,0.3858993735809743,1.0,0.413919555074064,1.0,0.0,1.0,0.49712304453286354
wsm6_freitas_ysu,0.2864668963046271,0.1029333761265134,0.6877897784182353,0.11271650572079296,0.8424430234291979,0.056857237416994624,0.5805977325902101,0.933988765805275
wsm6_ntiedtke_mynn,0.3283951244154839,0.3498473324603194,0.21830022454825265,1.0,0.02008432542195621,0.7836678714952513,0.49829387435382555,0.4579404177201503
wsm6_ntiedtke_ysu,0.1588527125528304,0.860021361081028,0.011211872889275486,0.7864455841588401,0.04915183363798253,0.8541629268583112,0.5067438501545444,0.8992449425925015
wsm6_tiedtke_mynn,0.3283951244154839,0.3498473324603194,0.21830022454825265,1.0,0.02008432542195621,0.7836678714952513,0.49829387435382555,0.4579404177201503
wsm6_tiedtke_ysu,0.0,0.0,0.06416043670307524,0.0,0.0,0.3088159491788711,0.03470549298632816,0.0
