,rmse,ccoef
thompson_freitas_mynn,0.6977919084928965,0.22549980509741963
thompson_freitas_ysu,1.0,0.0
thompson_ntiedtke_mynn,0.03920297384330795,0.9484439779858975
thompson_ntiedtke_ysu,0.15290493868542773,0.879033501154314
thompson_tiedtke_ysu,0.729755722183039,0.21493849425032246
wsm6_freitas_mynn,0.644935658300041,0.29263475701579295
wsm6_freitas_ysu,0.9732660007795356,0.04364618511521388
wsm6_ntiedtke_mynn,0.0,1.0
wsm6_ntiedtke_ysu,0.14213274924185604,0.9074553929801609
wsm6_tiedtke_mynn,0.5573589915123432,0.34625967435666893
wsm6_tiedtke_ysu,0.7024507114079344,0.2814379559818963
