,mean_dist,std,distance,minimum presure,Az,Ae,Kz,Ke,Ca,Ce,Ck,Ge,precip,u10,v10,windspeed,mean
thompson_freitas_mynn,81.97726053397359,42.7361357756693,0.0370153610394821,0.2035414554852378,0.837815905749376,1.0,0.8150863633484189,0.2832209228191246,0.6612654320988302,0.0724044582888961,0.4869072711567168,0.943786214615044,0.8429585690898791,0.96152238338271,0.8717480286645802,0.6977919084928965,8.33927878649213
thompson_freitas_ysu,95.34498297965337,53.87231458786357,0.2715917280709377,0.0,0.4239478958297223,0.4674941561972736,0.5914383840477303,0.0,0.8645968160120481,0.0710692441417483,0.0,0.3711584737195046,0.8670464884790825,1.0,1.0,1.0,9.759102547125934
thompson_ntiedtke_mynn,99.6482303659358,62.0122736958806,0.3471049759270058,0.4121530916961179,1.0,0.4850062273886392,0.1921694148376093,0.9372741608682656,0.0389280322159934,1.0,0.7557107096514338,0.8759383068996808,0.0124531574539369,0.1916949146151354,0.0478432992926788,0.0392029738433079,10.499748957906641
thompson_ntiedtke_ysu,124.50141664842226,73.97658540530347,0.7832278959675727,0.442261855839566,0.6925459940663895,0.7674648741504384,0.0,0.6322877240334817,0.1841520209648666,0.9291030242210137,0.2772597177610569,1.0,0.0,0.0416077721129223,0.0953241900173215,0.1529049386854277,12.779758878846613
thompson_tiedtke_ysu,113.4410896327952,65.29021252422137,0.5891416303341809,0.4232815539300293,0.6925459940663895,0.7674648741504384,0.0,0.6322877240334817,0.1841520209648666,0.9291030242210137,0.2772597177610569,1.0,0.4568625941838239,0.4898311982284897,0.7226184529285065,0.729755722183039,11.66410041650012
wsm6_freitas_mynn,79.86787893315754,41.12882253422318,0.0,0.2383788572002593,0.0,0.3154347625069681,1.0,0.412047531329368,1.0,0.0,1.0,0.072284723107218,0.74284814422366,0.8750156931469556,0.8587234217580174,0.644935658300041,8.009773141184574
wsm6_freitas_ysu,87.58487195207731,41.82988746075759,0.135417547315275,0.0715542039944111,0.2309857119675149,0.0,0.6877897784182353,0.1098823968813871,0.8392137398571088,0.0568572374169946,0.4740765433067956,0.8782214421575427,0.7394194432516913,0.9133671039850332,0.9474621224072582,0.9732660007795356,8.529517042785859
wsm6_ntiedtke_mynn,98.26780643894668,62.42224796331456,0.3228813408932718,0.4263956238641864,0.2761740940091417,0.2752459513738728,0.2183002245482526,1.0,0.0,0.7836678714952513,0.3708688761422942,0.0,0.0829705403880533,0.1917480948025251,0.0,0.0,10.289894188736131
wsm6_ntiedtke_ysu,136.8545337051074,59.57822102431196,1.0,0.4074847264458508,0.093448812624675,0.8439595954260882,0.0112118728892754,0.7857634611828895,0.0296632750859332,0.8541629268583112,0.38146500503195,0.8141254933936736,0.1299959521207769,0.0,0.0808414535895722,0.142132749241856,12.625438128331888
wsm6_tiedtke_mynn,80.27383944218721,37.98701914388468,0.0071237820618572,0.403857428563601,0.2761740940091417,0.2752459513738728,0.2183002245482526,1.0,0.0,0.7836678714952513,0.3708688761422942,0.0,1.0,0.6810740462888172,0.7915657414041803,0.5573589915123432,7.789130974591969
wsm6_tiedtke_ysu,99.24165586673767,67.08108654482476,0.3399704195852596,0.2886204030939792,0.093448812624675,0.8439595954260882,0.0112118728892754,0.7857634611828895,0.0296632750859332,0.8541629268583112,0.38146500503195,0.8141254933936736,0.8387842278500262,0.4651914620258443,0.7866490007011923,0.7024507114079344,10.847388067419969
