,rmse,ccoef,d_index
thompson_freitas_mynn,0.8429585690898791,0.2531848730100986,0.09089514333239523
thompson_freitas_ysu,0.8670464884790825,0.24873855586880741,0.0
thompson_ntiedtke_mynn,0.012453157453936941,0.9826443371821959,0.9264930026109867
thompson_ntiedtke_ysu,0.0,1.0,1.0
thompson_tiedtke_ysu,0.4568625941838239,0.7192209852552149,0.4760627637270051
wsm6_freitas_mynn,0.74284814422366,0.45632847158091894,0.30127393039281636
wsm6_freitas_ysu,0.7394194432516913,0.42256667870653297,0.23554643311990536
wsm6_ntiedtke_mynn,0.08297054038805335,0.9068755182725611,0.9721888495653153
wsm6_ntiedtke_ysu,0.12999595212077691,0.8620762198665746,0.9900399923453805
wsm6_tiedtke_mynn,1.0,0.0,0.20263214288851977
wsm6_tiedtke_ysu,0.8387842278500262,0.32336420097787977,0.320522549964858
