,start,end
intensification,2004-03-21 01:00:00,2004-03-21 12:00:00
incipient,2004-03-21 04:00:00,2004-03-22 03:00:00
intensification 2,2004-03-21 16:00:00,2004-03-22 15:00:00
decay,2004-03-22 08:00:00,2004-03-23 06:00:00
