,start,end
intensification,2004-03-24 01:00:00,2004-03-24 19:00:00
incipient,2004-03-24 15:00:00,2004-03-26 00:00:00
intensification 2,2004-03-25 13:00:00,2004-03-26 22:00:00
mature,2004-03-26 11:00:00,2004-03-27 08:00:00
decay,2004-03-26 21:00:00,2004-03-28 22:00:00
incipient 2,2004-03-28 11:00:00,2004-03-29 06:00:00
