,bias,mse,rmse,mae,mape,r
Az,8503.816545400457,215131709.86246967,14667.368880016267,11411.697854933998,0.09086094298429685,0.924768006530026
Ae,6642.77534132607,326743833.7399635,18076.056919028648,16488.781241133573,0.09062601461057258,0.8884906237814142
Kz,-64346.33266596808,6630945070.301766,81430.61506768671,70230.46800363837,0.10253187554113126,0.9388795633540202
Ke,-23242.90837802411,8134730099.569509,90192.73861885727,74785.4575045231,0.12336365525622521,0.8996102001431061
Cz,0.2368972332130075,1.0951050662108743,1.046472678196079,0.8595420764850905,2.8261358305546302,0.5111288438802114
Ca,0.060727197902146,0.20245875381695252,0.4499541685738143,0.40617913531225486,0.2734328620595514,0.6350121179713633
Ck,0.9567840643465431,1.7329908804030911,1.3164311149479455,1.0042745480282207,0.2078257082039576,0.9849649028393704
Ce,0.08471244910466852,1.013221889213125,1.0065892355937078,0.7950980743093498,0.18780883508819546,0.9271928600888846
BAz,0.37235441358117444,0.7708063804729349,0.8779557964231086,0.6726727099617639,0.18165388296777016,0.9257360912871062
BAe,-0.11011863563470291,0.2062264873257987,0.4541216657744912,0.3704098662802095,1.5186645611489045,0.9755631449893007
BKz,1.5039906285630373,19.29497270187612,4.392604318838213,3.7181904659081333,2.5790414930778485,0.9100883790265324
BKe,-0.44764116830511663,10.854611443686423,3.294633734375708,2.4826687503548075,0.232683051706289,0.9615917006642561
Gz,0.00476291558172288,5.403504366823346,2.3245439051184524,1.5917077512447195,0.9432008866758593,0.5173632803135921
Ge,0.15891030364246064,1.3491505501388878,1.1615294013234825,0.8713222542238123,1.0798693812155407,0.8747161206124616
∂Az/∂t (finite diff.),-0.04646365303927368,3.0491557270243574,1.7461831882778958,1.337692643783069,1.0583246829684432,0.9194611092013321
∂Ae/∂t (finite diff.),-0.22564973729149176,1.3264916063330348,1.1517341734675735,0.8842892531395732,2.642217175666239,0.9105566794584914
∂Kz/∂t (finite diff.),-0.10658995906945128,43.804145103055056,6.61846999714096,5.416086634968096,0.7795651788453964,0.833756675176724
∂Ke/∂t (finite diff.),-1.0794976526936126,17.595802459508505,4.194735088120406,3.1894945750308334,1.1461113426860965,0.8677242109128531
RGz,-0.12119363550529423,5.747398100103854,2.397373166635485,1.947892854072899,2.021964299858792,0.8404325876422057
RGe,-0.09154585045426682,3.3091529197289944,1.8191077262572974,1.5298965037863888,0.2838787103541059,0.8499274678846895
RKz,2.804261885192039,79.11763522921908,8.894809454351401,7.54905812823475,4.952432251295338,0.8324509873787989
RKe,-0.24021513085337817,23.397680833171478,4.837114928670961,4.146169795754547,0.9734892680226491,0.7974707629120689
