,bias,mse,rmse,mae,mape,r
Az,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
Ae,0.0,0.0,0.0,0.0,0.0,1.0
Kz,0.0,0.0,0.0,0.0,0.0,1.0
Ke,0.0,0.0,0.0,0.0,0.0,0.9999999999999998
Cz,0.0,0.0,0.0,0.0,0.0,1.0
Ca,0.0,0.0,0.0,0.0,0.0,1.0
Ck,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
Ce,0.0,0.0,0.0,0.0,0.0,1.0
BAz,0.0,0.0,0.0,0.0,0.0,1.0
BAe,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
BKz,0.0,0.0,0.0,0.0,0.0,0.9999999999999998
BKe,0.0,0.0,0.0,0.0,0.0,1.0
Gz,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
Ge,0.0,0.0,0.0,0.0,0.0,1.0
∂Az/∂t (finite diff.),0.0,0.0,0.0,0.0,0.0,1.0
∂Ae/∂t (finite diff.),0.0,0.0,0.0,0.0,0.0,1.0
∂Kz/∂t (finite diff.),0.0,0.0,0.0,0.0,0.0,0.9999999999999999
∂Ke/∂t (finite diff.),0.0,0.0,0.0,0.0,0.0,1.0
RGz,0.0,0.0,0.0,0.0,0.0,1.0
RGe,0.0,0.0,0.0,0.0,0.0,1.0
RKz,0.0,0.0,0.0,0.0,0.0,1.0
RKe,0.0,0.0,0.0,0.0,0.0,1.0
